,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,TPIA.JK,PT. Chandra Asri Petrochemical Tbk,"6,750.00",-25.00,-0.37%,3.867M,3.29M,120.376T,N/A
1,BRPT.JK,PT Barito Pacific Tbk,"1,190.00",+30.00,+2.59%,44.965M,65.289M,109.37T,N/A
2,SMGR.JK,PT Semen Indonesia (Persero) Tbk,"9,725.00",+50.00,+0.52%,3.362M,6.816M,57.684T,22.44
3,INTP.JK,PT Indocement Tunggal Prakarsa Tbk,"11,900.00",+200.00,+1.71%,1.932M,3.544M,43.807T,23.82
4,051915.KS,"LG Chem, Ltd.","269,000.00",-500.00,-0.19%,"62,860","73,183",41.523T,N/A
5,INKP.JK,PT Indah Kiat Pulp & Paper Tbk,"7,575.00",+900.00,+13.48%,29.684M,5.988M,41.443T,"108,214.29"
6,051910.KS,"LG Chem, Ltd.","513,000.00","-3,000.00",-0.58%,"354,760","557,344",41.358T,N/A
7,MDKA.JK,PT Merdeka Copper Gold Tbk,"1,450.00",+75.00,+5.45%,230.08M,56.772M,31.752T,"483,333.34"
8,INCO.JK,PT Vale Indonesia Tbk,"3,120.00",-30.00,-0.95%,20.148M,14.665M,31.001T,"283,636.38"
9,TKIM.JK,PT Pabrik Kertas Tjiwi Kimia Tbk,"7,100.00",+475.00,+7.17%,62.758M,16.809M,22.104T,"80,681.82"
10,ANTM.JK,PT Aneka Tambang Tbk,660.00,+10.00,+1.54%,116.131M,77.674M,19.033T,N/A
11,005490.KS,POSCO,"190,500.00","+5,500.00",+2.97%,"532,921","446,478",15.262T,N/A
12,BHP.L,BHP Group,"1,677.60",+28.20,+1.71%,3.113M,6.757M,84.837B,9.04
13,SMCB.JK,PT Solusi Bangun Indonesia Tbk,"1,065.00",+30.00,+2.90%,"113,500","116,967",8.161T,11.82
14,RIO.L,Rio Tinto Group,"4,609.32",+39.32,+0.86%,1.139M,3.055M,77.016B,9.45
15,CITA.JK,PT Cita Mineral Investindo Tbk,"1,760.00",0.00,0.00%,"5,000","2,977",6.97T,10.05
16,010130.KS,"Korea Zinc Company, Ltd.","370,000.00","+3,500.00",+0.95%,"35,615","49,578",6.539T,N/A
17,IMPC.JK,PT Impack Pratama Industri Tbk,"1,265.00",+5.00,+0.40%,"777,500","591,941",6.114T,43.37
18,011170.KS,Lotte Chemical Corporation,"176,500.00","+1,500.00",+0.86%,"99,748","205,787",6.05T,N/A
19,VALE.BA,Vale S.A.,587.00,+14.00,+2.44%,"2,330","17,024",5.962T,N/A
20,SQM-B.SN,Sociedad Quimica y Minera de Chile S.A.,"21,907.00",-333.00,-1.50%,"51,274","54,168",5.766T,"23,760.30"
21,KRAS.JK,PT Krakatau Steel (Persero) Tbk,278.00,0.00,0.00%,14.517M,36.094M,5.378T,N/A
22,WSBP.JK,PT Waskita Beton Precast Tbk,212.00,+10.00,+4.95%,218.034M,73.847M,5.197T,8.33
23,4063.T,"Shin-Etsu Chemical Co., Ltd.","12,375.00",-100.00,-0.80%,"960,700",1.011M,5.146T,16.39
24,SQM-A.SN,Sociedad Quimica y Minera de Chile S.A.,"19,530.00",-2.00,-0.01%,"9,226","1,221",5.14T,"21,182.21"
25,PSAB.JK,PT J Resources Asia Pasifik Tbk,182.00,+4.00,+2.25%,20.182M,17.247M,4.816T,N/A
26,TINS.JK,PT TIMAH Tbk,635.00,0.00,0.00%,19.452M,25.477M,4.729T,N/A
27,003670.KS,"Posco Chemical Co., Ltd.","76,700.00",+200.00,+0.26%,"331,031","660,948",4.678T,N/A
28,CMPC.SN,Empresas CMPC S.A.,"1,720.00",-18.00,-1.04%,"373,701","505,222",4.3T,N/A
29,NEM.BA,Newmont Corporation,"6,757.50",+38.50,+0.57%,4,99,3.547T,153.37
30,ZINC.JK,PT Kapuas Prima Coal Tbk,140.00,+4.00,+2.94%,180.44M,101.448M,3.535T,15.58
31,009830.KS,Hanwha Solutions Corporation,"20,000.00",+400.00,+2.04%,1.709M,2.001M,3.211T,N/A
