,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,"3,150.00",+30.00,+0.96%,158.166M,134.804M,312.046T,17.05
1,FB.BA,"Facebook, Inc.","3,278.00",-33.00,-1.00%,472,N/A,75.152T,899.56
2,GOOGL.BA,Alphabet Inc.,"5,700.00",-29.00,-0.51%,290,"2,942",71.354T,"2,874.61"
3,TOWR.JK,PT Sarana Menara Nusantara Tbk,"1,075.00",-20.00,-1.83%,160.745M,98.725M,53.971T,22.60
4,DNET.JK,PT Indoritel Makmur Internasional Tbk.,"3,240.00",-150.00,-4.42%,"32,400","29,904",45.956T,88.13
5,035420.KS,NAVER Corporation,"282,500.00","+3,000.00",+1.07%,1.34M,1.021M,41.066T,N/A
6,EXCL.JK,PT XL Axiata Tbk,"2,960.00",+60.00,+2.07%,8.637M,15.052M,31.69T,14.54
7,035720.KS,Kakao Corp.,"328,000.00","+17,500.00",+5.64%,1.848M,1.253M,27.771T,N/A
8,EMTK.JK,PT Elang Mahkota Teknologi Tbk,"4,560.00",0.00,0.00%,"1,100","65,083",25.729T,N/A
9,TBIG.JK,PT Tower Bersama Infrastructure Tbk,"1,125.00",+15.00,+1.35%,38.726M,39.728M,24.335T,28.28
10,GOOGL.MX,Alphabet Inc.,"34,290.99",+268.42,+0.79%,276,853,22.852T,691.74
11,GOOG.MX,Alphabet Inc.,"33,840.00",0.00,0.00%,4,307,22.674T,682.64
12,FREN.JK,PT Smartfren Telecom Tbk,97.00,-1.00,-1.02%,71.549M,106.859M,21.143T,N/A
13,036570.KS,Ncsoft Corporation,"945,000.00","-17,000.00",-1.77%,"131,690","114,539",19.474T,N/A
14,SCMA.JK,PT Surya Citra Media Tbk,"1,240.00",-5.00,-0.40%,21.433M,37.067M,18.223T,18.57
15,MNCN.JK,PT. Media Nusantara Citra Tbk,910.00,0.00,0.00%,56.393M,84.422M,16.287T,5.65
16,017670.KS,"SK Telecom Co.,Ltd","218,500.00",+500.00,+0.23%,"373,623","304,330",15.98T,N/A
17,VZ.BA,Verizon Communications Inc.,"3,007.50",+2.50,+0.08%,28,534,16.128T,678.89
18,NFLX.BA,"Netflix, Inc.","3,385.00",-14.00,-0.41%,256,"2,082",15.283T,685.08
19,FB.MX,"Facebook, Inc.","5,433.13",-53.58,-0.98%,875,"11,015",15.173T,745.49
20,TCEHYN.MX,Tencent Holdings Limited,"1,598.00",+94.50,+6.29%,356,"4,177",15.198T,"1,179.34"
21,T.BA,AT&T Inc.,"1,109.00",-36.50,-3.19%,"1,878","3,059",14.601T,563.23
22,ISAT.JK,PT Indosat Tbk,"2,570.00",+10.00,+0.39%,6.5M,9.127M,13.965T,11.12
23,IPTV.JK,PT MNC Vision Networks Tbk,360.00,-2.00,-0.55%,40.49M,16.891M,13.457T,34.41
24,9984.T,SoftBank Group Corp.,"6,019.00",-171.00,-2.76%,28.817M,26.381M,12.045T,N/A
25,251270.KS,Netmarble Corporation,"124,500.00","+1,500.00",+1.22%,"871,438","449,502",10.181T,N/A
26,MSKY.JK,PT MNC Sky Vision Tbk,"1,000.00",0.00,0.00%,100,"3,738",9.972T,N/A
27,9437.T,"NTT DOCOMO, INC.","2,925.00",+27.50,+0.95%,4.734M,4.633M,9.444T,16.26
28,9432.T,Nippon Telegraph and Telephone Corporation,"2,486.00",+3.00,+0.12%,4.907M,5.196M,9.037T,10.75
29,9433.T,KDDI Corporation,"3,259.00",+35.00,+1.09%,4.976M,5.373M,7.329T,11.83
30,9434.T,SoftBank Corp.,"1,386.00",-1.50,-0.11%,6.319M,9.44M,6.571T,14.15
31,LINK.JK,PT Link Net Tbk,"2,130.00",-60.00,-2.74%,3.736M,1.103M,6.044T,7.34
32,7974.T,"Nintendo Co., Ltd.","49,630.00","-1,930.00",-3.74%,1.413M,1.071M,5.912T,22.86
33,030200.KS,KT Corporation,"23,600.00",-350.00,-1.46%,1.089M,1.045M,5.788T,N/A
34,GOGL35.SA,Alphabet Inc.,324.24,0.00,0.00%,0,"1,129",5.44T,6.54
35,GOGL34.SA,Alphabet Inc.,322.93,-0.06,-0.02%,750,"13,213",5.439T,6.51
36,032640.KS,LG Uplus Corp.,"12,350.00",-150.00,-1.20%,1.608M,2.001M,5.392T,N/A
37,0700.HK,Tencent Holdings Limited,543.000,+27.000,+5.23%,27.612M,20.099M,5.187T,49.30
38,VZ.MX,Verizon Communications Inc.,"1,255.00",0.00,0.00%,1,"1,355",5.085T,283.30
39,NFLX.MX,"Netflix, Inc.","11,346.20",+109.17,+0.97%,718,"3,444",4.89T,"2,296.34"
40,T.MX,AT&T Inc.,690.00,0.00,0.00%,128,"7,592",4.824T,350.43
41,DIS.MX,The Walt Disney Company,"2,595.00",+9.99,+0.39%,"3,738","11,377",4.601T,874.03
42,CMCSA.MX,Comcast Corporation,909.24,0.00,0.00%,2,"3,420",4.084T,360.81
43,FBOK34.SA,"Facebook, Inc.",640.20,-14.19,-2.17%,200,"5,693",3.597T,175.69
44,REL.L,RELX PLC,"1,836.50",-22.00,-1.18%,1.178M,4.046M,35.471B,23.88
45,BALI.JK,PT Bali Towerindo Sentra Tbk,890.00,0.00,0.00%,300,"10,622",3.502T,74.92
46,CHLN.MX,China Mobile Limited,783.00,0.00,0.00%,0,"1,522",3.327T,180.00
47,BHIT.JK,PT MNC Investama Tbk,50.00,0.00,0.00%,"61,800",2.271M,3.353T,N/A
48,VOD.L,Vodafone Group Plc,125.12,-1.90,-1.50%,17.916M,82.077M,33.562B,N/A
49,BHARTIARTL.BO,Bharti Airtel Limited,561.25,-5.90,-1.04%,"301,815",3.309M,3.061T,N/A
50,BHARTIARTL.NS,Bharti Airtel Limited,561.30,-5.85,-1.03%,9.4M,20.714M,3.061T,N/A
51,BMTR.JK,PT. Global Mediacom Tbk,191.00,+1.00,+0.53%,15.942M,42.017M,2.861T,2.25
52,CENT.JK,PT Centratama Telekomunikasi Indonesia Tbk,91.00,+3.00,+3.41%,4.242M,6.638M,2.838T,230.38
53,RTL.VI,RTL Group S.A.,29.42,"-17,601.87",-99.83%,0,11,4.622B,5.99
54,PRX.JO,Prosus N.V.,"167,743.00","+5,397.00",+3.32%,"684,815","775,428",2.754T,"72,616.02"
55,BLTZ.JK,PT Graha Layar Prima Tbk,"3,100.00",+30.00,+0.98%,100,6,2.709T,83.28
56,SNAP.BA,Snap Inc.,"2,926.50",+174.50,+6.34%,22,56,2.721T,N/A
57,3659.T,"NEXON Co., Ltd.","2,605.00",+13.00,+0.50%,3.163M,2.238M,2.3T,20.92
58,MDIA.JK,PT Intermedia Capital Tbk,50.00,0.00,0.00%,100,"2,374",1.961T,30.38
59,TWTR.BA,"Twitter, Inc.","3,840.00",+223.00,+6.17%,469,403,1.961T,"4,767.23"
60,030000.KS,Cheil Worldwide Inc.,"17,200.00",-150.00,-0.86%,"342,764","743,423",1.742T,N/A
61,ENTEL.SN,Empresa Nacional de Telecomunicaciones S.A.,"5,750.30",+0.30,+0.01%,714,"64,941",1.737T,14.29
62,ZM.MX,"Zoom Video Communications, Inc.","6,124.00",+174.00,+2.92%,101,N/A,1.699T,"36,236.69"
63,FILM.JK,PT MD Pictures Tbk,181.00,+10.00,+5.85%,1.568M,5.928M,1.716T,47.42
64,181710.KS,NHN Corporation,"90,300.00","+3,400.00",+3.91%,"408,527","156,998",1.688T,N/A
65,DMMX.JK,PT Digital Mediatama Maxima Tbk,199.00,-1.00,-0.50%,16.563M,32.243M,1.469T,29.93
66,NPN.JO,Naspers Limited,"327,503.00","+8,303.00",+2.60%,1.227M,1.265M,1.406T,"46,853.08"
67,NTESN.MX,"NetEase, Inc.","10,166.00",0.00,0.00%,0,816,1.343T,"1,524.37"
68,ATVI.MX,"Activision Blizzard, Inc.","1,800.00",-10.00,-0.55%,521,"2,807",1.343T,890.65
69,192080.KS,"DoubleUGames Co., Ltd.","81,000.00",-400.00,-0.49%,"308,907","327,081",1.375T,N/A
70,MSIN.JK,PT. MNC Studios International Tbk.,264.00,+2.00,+0.76%,1.434M,"833,948",1.373T,6.97
71,AMXA.MX,"America Movil, S.A.B. de C.V.",15.45,0.00,0.00%,16,"2,714",1.337T,53.83
72,3938.T,LINE Corporation,"5,480.00",-100.00,-1.79%,"352,200","296,789",1.315T,N/A
73,AMXL.MX,"America Movil, S.A.B. de C.V.",14.70,-0.05,-0.34%,9.625M,44.34M,1.272T,51.22
74,ADVANC-R.BK,Advanced Info Service Public Company Limited,189.50,+1.50,+0.80%,7.552M,N/A,1.207T,18.56
75,NFLX34.SA,"Netflix, Inc.","2,692.26",+28.88,+1.08%,510,484,1.175T,544.88
76,VERZ34.SA,Verizon Communications Inc.,294.58,+2.08,+0.71%,0,797,1.22T,66.50
77,0941.HK,China Mobile Limited,56.100,-0.300,-0.53%,24.383M,23.571M,1.149T,9.64
78,YNDX.ME,Yandex N.V.,"3,569.40",-29.40,-0.82%,"539,371","559,077",1.175T,76.46
79,ATTB34.SA,AT&T Inc.,163.20,+1.87,+1.16%,0,"1,220",1.157T,82.88
80,NFCX.JK,PT NFC Indonesia Tbk,"1,675.00",+45.00,+2.76%,"8,400","234,396",1.117T,41.46
81,DISB34.SA,The Walt Disney Company,614.39,-0.62,-0.10%,80,"3,185",1.098T,206.93
82,BT-A.L,BT Group plc,106.90,-0.40,-0.37%,12.123M,34.723M,10.601B,6.14
83,GOOGL.SN,Alphabet Inc.,"1,504.90",-1.30,-0.09%,5,38,1.015T,30.36
84,GOOGL,Alphabet Inc.,"1,497.13",+7.21,+0.48%,"538,442",2.069M,1.02T,30.20
85,GOOG,Alphabet Inc.,"1,490.69",+5.51,+0.37%,"381,861",1.807M,1.019T,30.07
86,VODN.MX,Vodafone Group Plc,356.01,0.00,0.00%,0,369,950.536B,N/A
87,CMCS34.SA,Comcast Corporation,217.06,0.00,0.00%,0,"8,355",979.774B,86.13
88,GHON.JK,PT Gihon Telekomunikasi Indonesia Tbk,"1,715.00",-125.00,-6.79%,600,"17,187",943.25B,14.68
89,214320.KS,Innocean Worldwide Inc.,"46,550.00",+50.00,+0.11%,"35,368","62,708",931B,N/A
90,GOOC.VI,Alphabet Inc.,"1,319.20",-23.00,-1.71%,27,28,882.376B,26.61
91,ABEC.F,Alphabet Inc.,"1,315.00",-19.00,-1.42%,108,210,884.973B,26.53
92,GOOA.VI,Alphabet Inc.,"1,329.00",-16.20,-1.20%,18,47,886.948B,26.81
93,ABEC.DE,Alphabet Inc.,"1,327.40",-13.60,-1.01%,336,999,888.655B,26.78
94,ABEA.F,Alphabet Inc.,"1,320.80",-14.20,-1.06%,198,592,888.21B,26.64
95,ABEA.DE,Alphabet Inc.,"1,320.80",-14.20,-1.06%,800,"3,594",882.526B,26.64
96,2412.TW,"Chunghwa Telecom Co., Ltd.",112.00,+0.50,+0.45%,15.031M,8.391M,868.834B,26.45
97,EA.MX,Electronic Arts Inc.,"2,994.24",0.00,0.00%,0,N/A,868.863B,290.70
98,VIVA.JK,PT Visi Media Asia Tbk,50.00,0.00,0.00%,200,"12,137",823.215B,N/A
99,TWLO.MX,Twilio Inc.,"5,494.50",+244.50,+4.66%,37,932,763.543B,N/A
0,SNAP.MX,Snap Inc.,515.00,-48.56,-8.62%,2,N/A,799.043B,N/A
1,4751.T,"CyberAgent, Inc.","5,970.00",-400.00,-6.28%,3.19M,1.106M,752.172B,149.81
2,ALMENDRAL.SN,Almendral S.A.,41.00,0.00,0.00%,"21,531","547,557",738.722B,11.74
3,WPP.L,WPP plc,592.80,-32.00,-5.12%,2.868M,4.268M,7.264B,11.98
4,T1MU34.SA,"T-Mobile US, Inc.",281.70,0.00,0.00%,0,205,702.154B,69.37
5,4324.T,Dentsu Group Inc.,"2,548.00",-16.00,-0.62%,1.306M,1.786M,699.146B,N/A
6,FB,"Facebook, Inc.",238.11,-2.75,-1.14%,12.479M,25.821M,678.399B,32.67
7,INF.L,Informa plc,448.50,-4.20,-0.93%,1.345M,6.752M,6.737B,24.92
8,KBLV.JK,PT First Media Tbk,382.00,-28.00,-6.83%,400,"1,241",665.509B,N/A
9,TCEHY,Tencent Holdings Limited,69.71,+3.21,+4.83%,1.988M,3.673M,666.617B,51.45
10,9602.T,"Toho Co., Ltd.","3,685.00",-75.00,-1.99%,"373,500","375,707",655.993B,18.08
11,TCTZF,Tencent Holdings Limited,69.75,+3.15,+4.73%,"15,588","33,712",665.998B,51.48
12,9684.T,"Square Enix Holdings Co., Ltd.","5,490.00",-80.00,-1.44%,"443,700","723,921",654.93B,30.72
13,TWTR.MX,"Twitter, Inc.",796.00,+45.66,+6.09%,"18,911","21,180",613.14B,494.10
14,FB2A.F,"Facebook, Inc.",209.00,-6.95,-3.22%,"1,247","3,055",587.171B,28.68
15,FB.VI,"Facebook, Inc.",212.55,-6.10,-2.79%,310,231,589.771B,29.16
16,FB.MI,"Facebook, Inc.",209.40,-8.95,-4.10%,"2,520","1,569",581.828B,28.73
17,FB2A.DE,"Facebook, Inc.",209.20,-9.25,-4.23%,"17,394","21,881",581.007B,28.70
18,NNND.VI,Tencent Holdings Limited,62.00,+2.57,+4.32%,79,36,586.527B,N/A
19,NNN1.F,Tencent Holdings Limited,62.00,+3.40,+5.80%,"8,889","3,153",594.834B,N/A
20,NNN1.VI,Tencent Holdings Limited,62.20,+3.00,+5.07%,0,1,590.705B,N/A
21,NNND.F,Tencent Holdings Limited,61.89,+2.83,+4.79%,"21,906","30,584",589.154B,45.68
