,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,ASII.JK,PT Astra International Tbk,"4,910.00",+80.00,+1.66%,45.246M,53.009M,198.774T,9.33
1,AMZN.BA,"Amazon.com, Inc.","4,712.00",+87.50,+1.89%,648,"6,043",107.753T,450.13
2,DISN.BA,The Walt Disney Company,"3,154.50",+7.50,+0.24%,"1,036","5,026",45.158T,"1,062.48"
3,AMZN.MX,"Amazon.com, Inc.","69,600.00",+989.29,+1.44%,136,"1,725",33.894T,"3,324.42"
4,ACES.JK,PT Ace Hardware Indonesia Tbk,"1,545.00",+5.00,+0.32%,12.167M,14.953M,26.446T,25.63
5,005389.KS,Hyundai Motor Company,"54,800.00",0.00,0.00%,"10,421","19,063",23.452T,N/A
6,005385.KS,Hyundai Motor Company,"55,400.00",+300.00,+0.54%,"67,242","141,458",23.58T,N/A
7,005380.KS,Hyundai Motor Company,"99,600.00",+400.00,+0.40%,"847,516",1.62M,23.547T,N/A
8,005387.KS,Hyundai Motor Company,"57,200.00",+200.00,+0.35%,"73,346","120,821",23.534T,N/A
9,HD.BA,"The Home Depot, Inc.","6,831.00",0.00,0.00%,24,31,18.823T,"1,356.70"
10,TYT.L,Toyota Motor Corporation,"6,770.00",-367.38,-5.15%,"80,000","69,317",18.727T,9.28
11,TSLA.BA,"Tesla, Inc.","10,300.00",0.00,0.00%,300,"1,386",18.24T,N/A
12,7203.T,Toyota Motor Corporation,"6,728.00",-42.00,-0.62%,4.673M,5.536M,18.611T,9.22
13,012330.KS,"Hyundai Mobis Co.,Ltd","199,000.00","-2,000.00",-1.00%,"270,619","330,443",18.594T,N/A
14,FASW.JK,PT Fajar Surya Wisesa Tbk,"7,300.00",0.00,0.00%,100,846,18.089T,80.56
15,BABAN.MX,Alibaba Group Holding Limited,"5,774.94",+375.31,+6.95%,"4,836","12,294",15.92T,"1,651.40"
16,BMW.BD,Bayerische Motoren Werke AG,"20,900.00",0.00,0.00%,10,37,13.331T,N/A
17,000270.KS,Kia Motors Corporation,"32,850.00",+650.00,+2.02%,1.702M,1.99M,13.171T,N/A
18,TM.BA,Toyota Motor Corporation,"2,701.00",-90.50,-3.24%,60,119,11.941T,N/A
19,MAPI.JK,PT. Mitra Adiperkasa Tbk,735.00,+10.00,+1.38%,68.246M,25.597M,12.157T,15.13
20,NKE.BA,"NIKE, Inc.","3,652.00",+52.00,+1.44%,9,122,10.835T,"2,282.50"
21,SBUX.BA,Starbucks Corporation,"8,259.50",+146.50,+1.81%,1,19,10.067T,N/A
22,MCD.BA,McDonald's Corporation,"5,180.00",+0.50,+0.01%,92,"1,759",9.833T,"2,712.04"
23,AMZO34.SA,"Amazon.com, Inc.","8,185.00",+54.64,+0.67%,200,588,8.07T,781.91
24,TURI.JK,PT Tunas Ridean Tbk,"1,430.00",-20.00,-1.38%,"131,500","164,891",7.979T,14.74
25,INPP.JK,PT Indonesian Paradise Property Tbk,700.00,0.00,0.00%,"7,600","100,853",7.827T,4.00
26,MAPA.JK,PT Map Aktif Adiperkasa Tbk,"2,590.00",0.00,0.00%,1.996M,3.268M,7.383T,11.83
27,FALABELLA.SN,Falabella S.A.,"2,800.00",-74.50,-2.59%,14.479M,"695,516",7.025T,29.04
28,SMSM.JK,PT Selamat Sempurna Tbk,"1,105.00",-35.00,-3.07%,4.726M,2.732M,6.363T,11.21
29,9983.T,"Fast Retailing Co., Ltd.","62,130.00",-230.00,-0.37%,"641,600",1.041M,6.342T,42.63
30,HD.MX,"The Home Depot, Inc.","5,535.00",0.00,0.00%,0,"1,205",5.94T,549.65
31,TSLA.MX,"Tesla, Inc.","31,801.00",+107.45,+0.34%,510,"2,035",5.775T,N/A
32,018880.KS,Hanon Systems,"10,050.00",+300.00,+3.08%,1.406M,1.187M,5.363T,N/A
