,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,UNVR.JK,PT Unilever Indonesia Tbk,"8,100.00",+175.00,+2.21%,19.069M,15.288M,309.015T,41.16
1,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk,"1,660.00",+20.00,+1.22%,41.52M,36.296M,193.088T,14.04
2,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk,"9,450.00",-50.00,-0.53%,9.14M,12.841M,110.205T,19.39
3,CPIN.JK,PT Charoen Pokphand Indonesia Tbk,"6,350.00",0.00,0.00%,5.644M,10.817M,104.127T,27.80
4,GGRM.JK,PT Gudang Garam Tbk,"47,000.00",+325.00,+0.70%,"802,600",1.093M,90.432T,8.24
5,INDF.JK,PT Indofood Sukses Makmur Tbk,"6,625.00",+50.00,+0.76%,4.221M,12.385M,58.17T,11.72
6,MYOR.JK,PT Mayora Indah Tbk,"2,240.00",0.00,0.00%,1.023M,3.053M,50.083T,20.42
7,AMRT.JK,PT Sumber Alfaria Trijaya Tbk,790.00,0.00,0.00%,"251,100","262,132",32.804T,26.01
8,WMT.BA,Walmart Inc.,"4,650.00",+34.50,+0.75%,312,"3,915",25.714T,"3,536.79"
9,051905.KS,LG Household & Health Care Ltd.,"721,000.00","-4,000.00",-0.55%,"1,821","4,453",23.974T,N/A
10,051900.KS,LG Household & Health Care Ltd.,"1,317,000.00","-31,000.00",-2.30%,"37,843","42,599",23.553T,N/A
11,PG.BA,The Procter & Gamble Company,"2,730.00",+5.00,+0.18%,280,"1,276",21.448T,"1,470.91"
12,MLBI.JK,PT Multi Bintang Indonesia Tbk,"9,975.00",0.00,0.00%,"185,300","50,088",21.017T,19.01
13,ULTJ.JK,PT Ultrajaya Milk Industry & Trading Company Tbk.,"1,620.00",+5.00,+0.31%,"442,800","874,364",18.717T,16.02
14,AALI.JK,PT Astra Agro Lestari Tbk,"8,650.00",-50.00,-0.57%,1.065M,2.483M,16.649T,30.56
15,KO.BA,The Coca-Cola Company,990.00,-16.50,-1.64%,"4,835","18,876",13.48T,426.72
16,PEP.BA,"PepsiCo, Inc.","7,256.50",-103.00,-1.40%,2,526,12.929T,"1,405.21"
17,STTP.JK,PT Siantar Top Tbk,"8,750.00",0.00,0.00%,"1,900","3,462",11.463T,21.93
18,JPFA.JK,PT Japfa Comfeed Indonesia Tbk,"1,195.00",-5.00,-0.42%,34.468M,42.971M,11.22T,7.79
19,ULVR.L,The Unilever Group,"4,239.82",-22.18,-0.52%,1.045M,2.651M,110.949B,16.78
20,033780.KS,KT&G Corporation,"79,500.00",+300.00,+0.38%,"310,855","480,262",10.063T,N/A
21,090430.KS,Amorepacific Corporation,"162,000.00","-1,500.00",-0.92%,"182,597","366,902",10.043T,N/A
22,090435.KS,Amorepacific Corporation,"62,600.00",-100.00,-0.16%,"62,019","92,018",10.12T,N/A
23,GOOD.JK,PT Garudafood Putra Putri Jaya Tbk,"1,300.00",0.00,0.00%,"253,600","161,624",9.593T,22.02
24,SMAR.JK,PT Sinar Mas Agro Resources and Technology Tbk,"2,990.00",+10.00,+0.34%,500,"3,527",8.588T,N/A
25,RMBA.JK,PT Bentoel Internasional Investama Tbk,234.00,+8.00,+3.54%,"2,500","16,596",8.518T,93.98
26,WMT.MX,Walmart Inc.,"2,866.00",-21.36,-0.74%,307,"5,621",7.968T,544.97
27,NESNN.MX,Nestle S.A.,"2,519.22",0.00,0.00%,1,421,8.07T,942.12
28,DMND.JK,PT Diamond Food Indonesia Tbk,950.00,+15.00,+1.60%,"37,800","19,167",8.995T,23.89
29,MO.BA,"Altria Group, Inc.","1,112.00",-3.00,-0.27%,16,0,7.725T,N/A
30,SSMS.JK,PT Sawit Sumbermas Sarana Tbk.,800.00,0.00,0.00%,1.81M,2.759M,7.62T,N/A
31,ROTI.JK,PT Nippon Indosari Corpindo Tbk,"1,195.00",0.00,0.00%,1.039M,1.849M,7.025T,23.07
32,BATS.L,British American Tobacco p.l.c.,"3,050.00",-15.00,-0.49%,1.212M,3.512M,69.974B,12.25
33,PG.MX,The Procter & Gamble Company,"2,790.00",0.00,0.00%,3,"2,348",6.756T,"1,503.23"
34,DGE.L,Diageo plc,"2,753.00",+23.00,+0.84%,1.72M,4.616M,64.349B,21.54
35,UCID.JK,PT Uni-Charm Indonesia Tbk,"1,450.00",0.00,0.00%,"153,600","853,812",6.027T,37.74
36,LSIP.JK,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,870.00,0.00,0.00%,13.087M,23.933M,5.933T,20.02
