,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,BYAN.JK,PT Bayan Resources Tbk,"12,950.00",-950.00,-6.83%,"9,400",451,43.167T,"249,038.45"
1,ADRO.JK,PT Adaro Energy Tbk,"1,065.00",+15.00,+1.43%,60.115M,62.907M,34.065T,"96,818.18"
2,PTBA.JK,PT Bukit Asam Tbk,"2,080.00",+30.00,+1.46%,57.91M,66.001M,23.272T,6.03
3,DSSA.JK,PT Dian Swastatika Sentosa Tbk,"22,275.00",0.00,0.00%,"2,900",801,17.164T,"342,692.31"
4,XOM.BA,Exxon Mobil Corporation,966.00,+5.00,+0.52%,795,"15,695",12.956T,"1,449.91"
5,BP-B.L,BP p.l.c.,185.00,0.00,0.00%,3,"2,575",121.956B,N/A
6,BP-A.L,BP p.l.c.,161.60,-2.90,-1.76%,"1,925","7,674",121.8B,N/A
7,RELIANCE.NS,Reliance Industries Limited,"1,798.00",-25.45,-1.40%,12.088M,20.782M,12.158T,28.32
8,RELIANCE.BO,Reliance Industries Limited,"1,797.35",-26.60,-1.46%,"583,648","942,847",12.156T,28.31
9,CVX.BA,Chevron Corporation,"1,200.00",-3.50,-0.29%,32,"1,784",11.43T,"1,167.88"
10,096775.KS,"SK Innovation Co., Ltd.","95,700.00",+900.00,+0.95%,"33,695","30,065",11.216T,N/A
11,096770.KS,"SK Innovation Co., Ltd.","134,000.00",+500.00,+0.37%,"526,535","856,446",11.152T,N/A
12,RDSA.L,Royal Dutch Shell plc,"1,279.80",-16.60,-1.28%,2.156M,13.111M,97.866B,10.46
13,AKRA.JK,PT AKR Corporindo Tbk,"2,490.00",0.00,0.00%,12.53M,17.644M,9.869T,13.32
14,RDSB.L,Royal Dutch Shell plc,"1,226.00",-11.60,-0.94%,4.381M,9.85M,97.995B,10.02
15,RDS.BA,Royal Dutch Shell plc,"1,705.00",+0.50,+0.03%,14,"1,333",8.903T,697.06
16,MEDC.JK,PT Medco Energi Internasional Tbk,468.00,-2.00,-0.43%,41.691M,62.645M,8.34T,N/A
17,ITMG.JK,PT Indo Tambangraya Megah Tbk,"7,475.00",+50.00,+0.67%,3.036M,2.833M,8.197T,"77,864.59"
18,2222.SR,Saudi Arabian Oil Company,33.25,+0.05,+0.15%,5.638M,6.104M,7.311T,21.38
19,010950.KS,S-Oil Corporation,"63,300.00",-700.00,-1.09%,"346,236","649,025",7.265T,N/A
20,010955.KS,S-Oil Corporation,"35,900.00",-550.00,-1.51%,"17,148","19,322",7.234T,N/A
21,BP.L,BP p.l.c.,303.75,-4.60,-1.49%,13.96M,50.152M,61.548B,N/A
22,GAZP.ME,Public Joint Stock Company Gazprom,200.07,+2.11,+1.07%,23.28M,46.052M,4.731T,3.74
23,SURE.JK,PT Super Energy Tbk,"2,930.00",0.00,0.00%,"27,000","45,751",4.388T,"1,528.43"
24,ROSN.ME,Public Joint Stock Company Rosneft Oil Company,364.15,-1.70,-0.46%,2.461M,11.02M,3.871T,9.17
25,INDY.JK,PT. Indika Energy Tbk,725.00,+10.00,+1.40%,11.613M,9.612M,3.777T,N/A
26,XOM.MX,Exxon Mobil Corporation,986.25,-3.75,-0.38%,100,"2,962",4.069T,370.08
27,CVX.MX,Chevron Corporation,"1,973.41",0.00,0.00%,1,"1,665",3.598T,960.30
28,ABMM.JK,PT ABM Investama Tbk,"1,305.00",-95.00,-6.79%,"12,700",572,3.593T,"326,250.00"
29,LKOH.ME,PJSC LUKOIL,"5,420.50",-43.50,-0.80%,1.08M,1.579M,3.537T,8.15
30,BSSR.JK,PT Baramulti Suksessarana Tbk,"1,320.00",+20.00,+1.54%,"9,600","30,533",3.454T,"88,000.00"
31,BUMI.JK,PT Bumi Resources Tbk,50.00,0.00,0.00%,117.356M,7.12M,3.354T,N/A
32,NVTK.ME,PAO NOVATEK,"1,039.40",+5.00,+0.48%,"636,592",1.655M,3.122T,0.69
33,HRUM.JK,PT Harum Energy Tbk,"1,215.00",+30.00,+2.53%,"588,100","214,338",3.078T,"243,000.00"
34,RDSB.MX,Royal Dutch Shell plc,703.00,0.00,0.00%,4,"3,800",2.821T,287.41
35,SQMI.JK,PT Wilton Makmur indonesia Tbk,184.00,-1.00,-0.54%,1.975M,4.218M,2.859T,N/A
36,RDSA.MX,Royal Dutch Shell plc,746.25,0.00,0.00%,0,"6,620",2.841T,305.09
37,RDSA.PR,Royal Dutch Shell plc,388.00,-8.00,-2.02%,483,485,2.872T,317.25
38,TOBA.JK,PT Toba Bara Sejahtra Tbk,350.00,0.00,0.00%,"2,100","62,119",2.817T,"70,000.00"
39,8031.T,"Mitsui & Co., Ltd.","1,574.00",-0.50,-0.03%,3.744M,4.951M,2.649T,6.97
40,ESSA.JK,PT Surya Esa Perkasa Tbk,162.00,+3.00,+1.89%,"438,600",1.931M,2.317T,N/A
41,TOTN.MX,TOTAL S.A.,881.13,0.00,0.00%,0,384,2.266T,290.23
42,MYOH.JK,PT Samindo Resources Tbk,"1,020.00",-5.00,-0.49%,"132,400","236,025",2.25T,"145,714.28"
43,BIPI.JK,PT Astrindo Nusantara Infrastruktur Tbk,50.00,0.00,0.00%,"26,900","41,003",2.235T,N/A
44,DWGL.JK,PT Dwi Guna Laksana Tbk,242.00,+8.00,+3.42%,"45,200",5.064M,2.108T,927.20
45,MBAP.JK,PT Mitrabara Adiperdana Tbk,"1,685.00",+35.00,+2.12%,"194,600","56,216",2.068T,"46,805.56"
46,BPN.MX,BP p.l.c.,520.01,-8.88,-1.68%,20,"3,215",1.714T,N/A
47,ELSA.JK,PT Elnusa Tbk,238.00,-2.00,-0.83%,94.538M,65.555M,1.737T,5.23
48,SNGSP.ME,Surgutneftegas Public Joint Stock Company,35.72,-0.24,-0.65%,20.215M,26.547M,1.694T,12.93
49,SNGS.ME,Surgutneftegas Public Joint Stock Company,38.91,-0.79,-1.99%,34.483M,53.894M,1.66T,14.09
50,SLB.BA,Schlumberger Limited,681.50,+5.00,+0.74%,48,"2,063",1.8T,N/A
51,SHIP.JK,PT Sillo Maritime Perdana Tbk,600.00,0.00,0.00%,"706,900","430,559",1.632T,"120,000.00"
52,ARII.JK,PT Atlas Resources Tbk,535.00,0.00,0.00%,"12,500","10,832",1.605T,N/A
53,SNPN.MX,China Petroleum & Chemical Corporation,"1,019.00",0.00,0.00%,0,294,1.535T,111.98
54,SIBN.ME,Public Joint Stock Company Gazprom Neft,328.60,-1.95,-0.59%,"958,730",2.135M,1.55T,5.57
55,MOL.BD,MOL Magyar Olaj- es Gazipari Nyilvanosan Mukodo Reszvenytarsasag,"1,856.00",+34.00,+1.87%,"282,837",1.13M,1.424T,10.48
56,DOID.JK,PT Delta Dunia Makmur Tbk,153.00,-3.00,-1.92%,32.163M,38.331M,1.319T,N/A
57,PBRN.MX,Petroleo Brasileiro S.A. - Petrobras,199.00,+6.80,+3.54%,"5,000","30,574",1.268T,271.12
58,TATNP.ME,PJSC Tatneft,543.40,-7.10,-1.29%,"405,883",1.117M,1.254T,7.77
59,TATN.ME,PJSC Tatneft,558.80,-6.70,-1.18%,1.802M,5.331M,1.255T,7.99
