,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,BBCA.JK,PT Bank Central Asia Tbk,"31,000.00","+1,050.00",+3.51%,21.289M,22.086M,764.305T,26.28
1,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,"3,190.00",+160.00,+5.28%,339.668M,267.644M,390.395T,11.38
2,BMRI.JK,PT Bank Mandiri (Persero) Tbk,"5,275.00",+225.00,+4.46%,74.733M,77.268M,246.15T,8.74
3,C.BA,Citigroup Inc.,"1,839.50",-9.00,-0.49%,291,"5,924",7.366T,253.20
4,SMMA.JK,PT Sinar Mas Multiartha Tbk,"17,200.00","+1,900.00",+12.42%,"8,600","792,772",109.524T,22.42
5,BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,"4,800.00",+200.00,+4.35%,115.288M,66.107M,88.497T,5.75
6,JPM.BA,JPMorgan Chase & Co.,"2,025.00",-11.50,-0.56%,895,"4,406",19.613T,455.16
7,V.BA,Visa Inc.,"3,520.00",-45.00,-1.26%,186,N/A,47.37T,633.55
8,MAYA.JK,PT Bank Mayapada Internasional Tbk,"6,500.00",0.00,0.00%,100,104,44.411T,91.52
9,MEGA.JK,PT Bank Mega Tbk,"6,350.00",0.00,0.00%,600,"8,680",43.778T,20.21
10,BNLI.JK,PT Bank Permata Tbk,"1,275.00",0.00,0.00%,3.054M,19.093M,35.754T,31.79
11,ARTO.JK,"PT Bank Artos Indonesia, Tbk","2,730.00",-170.00,-5.86%,"602,800","531,930",29.341T,N/A
12,BDMN.JK,PT Bank Danamon Indonesia Tbk,"2,850.00",+40.00,+1.42%,2.604M,2.447M,27.855T,6.38
13,BTPS.JK,PT Bank Tabungan Pensiunan Nasional Syariah Tbk,"3,220.00",+130.00,+4.21%,18.23M,30.565M,24.55T,16.39
14,CASA.JK,PT Capital Financial Indonesia Tbk,378.00,0.00,0.00%,"356,000",2.044M,20.592T,555.88
15,PNBN.JK,P.T. Bank Pan Indonesia Tbk,815.00,+35.00,+4.49%,9.11M,3.743M,19.423T,6.14
16,BNGA.JK,PT Bank CIMB Niaga Tbk,765.00,+20.00,+2.68%,2.822M,4.762M,19.071T,5.08
17,BTPN.JK,PT Bank BTPN Tbk,"2,190.00",+30.00,+1.39%,"83,100","146,670",17.456T,6.31
18,NISP.JK,PT Bank OCBC NISP Tbk,735.00,-5.00,-0.68%,"27,500","35,320",16.696T,5.69
19,WFC.BA,Wells Fargo & Company,530.00,-9.50,-1.76%,"7,060","24,935",6.926T,183.39
20,PYPL.BA,"PayPal Holdings, Inc.","4,966.00",+113.00,+2.33%,24,124,15.069T,"6,282.10"
21,055550.KS,"Shinhan Financial Group Co., Ltd.","30,000.00",-150.00,-0.50%,1.14M,2.256M,14.322T,N/A
22,LIFE.JK,PT Asuransi Jiwa Sinarmas MSIG Tbk,"6,750.00",0.00,0.00%,"2,100","27,761",14.175T,32.22
23,BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,"1,340.00",+115.00,+9.39%,319.541M,120.932M,14.049T,N/A
24,105560.KS,KB Financial Group Inc.,"35,050.00",-750.00,-2.09%,1.533M,2.603M,13.832T,N/A
25,BNII.JK,PT Bank Maybank Indonesia Tbk,162.00,0.00,0.00%,1.634M,"528,172",12.347T,6.28
26,ASMI.JK,PT Asuransi Kresna Mitra Tbk,"1,220.00",+5.00,+0.41%,"65,900","64,498",10.929T,N/A
27,BRKB.MX,Berkshire Hathaway Inc.,"4,140.00",+38.97,+0.95%,123,"11,262",9.921T,0.67
28,APIC.JK,PT Pacific Strategic Financial Tbk,835.00,+10.00,+1.21%,34.769M,20.815M,9.942T,60.26
29,V.MX,Visa Inc.,"4,444.50",+229.05,+5.43%,165,"4,158",10.042T,799.95
30,BSIM.JK,PT Bank Sinarmas Tbk,520.00,-5.00,-0.95%,"3,200","11,883",8.977T,N/A
31,BJBR.JK,PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,895.00,+20.00,+2.29%,47.818M,10.093M,8.806T,5.66
32,BJTM.JK,PT Bank Pembangunan Daerah Jawa Timur Tbk,560.00,+15.00,+2.75%,46.937M,11.516M,8.409T,5.96
33,032830.KS,"Samsung Life Insurance Co., Ltd.","46,150.00",+50.00,+0.11%,"250,205","667,838",8.287T,N/A
34,086790.KS,Hana Financial Group Inc.,"26,800.00",-300.00,-1.11%,1.067M,2.052M,7.814T,N/A
35,CHILE.SN,Banco de Chile,77.05,-1.65,-2.10%,46.108M,19.999M,7.783T,12.39
36,HSBA.L,HSBC Holdings plc,381.75,-13.40,-3.39%,23.578M,38.232M,77.748B,21.33
37,JPM.MX,JPMorgan Chase & Co.,"2,102.50",+12.49,+0.60%,995,"9,478",6.319T,236.29
38,000810.KS,"Samsung Fire & Marine Insurance Co., Ltd.","185,500.00","-2,000.00",-1.07%,"64,780","117,937",7.725T,N/A
39,000815.KS,"Samsung Fire & Marine Insurance Co., Ltd.","126,500.00",-500.00,-0.39%,"6,586","9,248",7.778T,N/A
40,SRTG.JK,PT Saratoga Investama Sedaya Tbk,"2,700.00",-10.00,-0.37%,"46,000","177,693",7.318T,31.34
41,ADMF.JK,PT Adira Dinamika Multi Finance Tbk,"7,225.00",+75.00,+1.05%,"190,000","295,779",7.225T,3.33
42,MA.MX,Mastercard Incorporated,"6,830.00",-80.00,-1.16%,53,"1,583",6.644T,872.84
43,BSANTANDER.SN,Banco Santander-Chile,34.99,-0.63,-1.77%,23.516M,24.996M,6.594T,11.56
44,BBMD.JK,PT Bank Mestika Dharma Tbk,"1,605.00",+15.00,+0.94%,"2,000",1.128M,6.498T,28.59
45,316140.KS,Woori Financial Group Inc.,"8,810.00",-120.00,-1.34%,1.711M,2.466M,6.363T,N/A
46,BCAP.JK,PT MNC Kapital Indonesia Tbk,158.00,+1.00,+0.64%,13.774M,2.029M,6.272T,124.61
47,HDFCBANK.NS,HDFC Bank Limited,"1,110.35",+5.20,+0.47%,15.027M,19.786M,6.087T,22.45
48,HDFCBANK.BO,HDFC Bank Limited,"1,109.35",+4.35,+0.39%,"333,288","870,074",6.082T,22.43
49,PNLF.JK,PT Panin Financial Tbk,184.00,+3.00,+1.66%,40.791M,19.016M,5.892T,3.07
50,BAC.MX,Bank of America Corporation,517.02,-6.17,-1.18%,"5,019","14,017",4.405T,210.17
51,8306.T,"Mitsubishi UFJ Financial Group, Inc.",420.20,-5.40,-1.27%,45.76M,65.442M,5.396T,10.32
52,AXP.BA,American Express Company,"2,002.00",-73.50,-3.54%,255,"1,987",5.05T,301.92
53,TUGU.JK,PT Asuransi Tugu Pratama Indonesia Tbk,"2,770.00",+40.00,+1.47%,"27,300","17,540",4.924T,16.98
54,BINA.JK,PT Bank Ina Perdana Tbk,875.00,-65.00,-6.91%,1.083M,"292,254",4.898T,683.06
55,SDRA.JK,PT Bank Woori Saudara Indonesia 1906 Tbk,760.00,0.00,0.00%,"1,100","13,158",4.846T,10.30
56,PYPL.MX,"PayPal Holdings, Inc.","4,129.00",+94.43,+2.34%,89,"2,534",4.756T,"2,611.64"
57,024110.KS,Industrial Bank of Korea,"8,130.00",-10.00,-0.12%,1.325M,2.745M,5.5T,N/A
58,SBERP.ME,Sberbank of Russia,193.00,-0.25,-0.13%,6.427M,8.797M,4.553T,5.74
59,SBER.ME,Sberbank of Russia,209.77,-0.76,-0.36%,39.27M,66.848M,4.528T,6.24
60,GACA.L,General Accident plc 8 7/8% CUM IRRD PRF GBP1,145.90,+2.90,+2.03%,"73,030","22,200",40.852B,243.17
61,006805.KS,"Mirae Asset Daewoo Co., Ltd.","4,140.00",+40.00,+0.98%,"24,182","114,758",4.269T,N/A
62,006800.KS,"Mirae Asset Daewoo Co., Ltd.","6,960.00",+60.00,+0.87%,1.597M,3.611M,4.265T,N/A
63,BRIS.JK,PT Bank BRIsyariah Tbk,440.00,-12.00,-2.65%,361.152M,80.449M,4.232T,35.89
64,8316.T,"Sumitomo Mitsui Financial Group, Inc.","3,036.00",-42.00,-1.36%,4.899M,6.669M,4.158T,19.67
65,BCI.SN,Banco de Credito e Inversiones,"28,726.00",-774.00,-2.62%,"9,338","17,316",4.068T,10.75
66,BFIN.JK,PT BFI Finance Indonesia Tbk,270.00,-12.00,-4.26%,18.244M,5.153M,4.04T,5.75
67,088980.KS,Macquarie Korea Infrastructure Fund,"11,400.00",0.00,0.00%,"658,231","832,381",3.979T,N/A
68,ABDA.JK,PT Asuransi Bina Dana Arta Tbk,"6,250.00",0.00,0.00%,"3,800",179,3.88T,42.59
69,GACB.L,General Accident plc 7 7/8% CUM IRRD PRF GBP1,133.00,+3.50,+2.70%,"103,000","25,600",37.24B,221.67
70,SCOTIABKCL.SN,"Scotiabank Chile, S.A.",306.00,-42.44,-12.18%,"1,300","26,654",3.746T,13.40
71,NOBU.JK,PT Bank Nationalnobu Tbk,765.00,-10.00,-1.29%,"1,600","2,062",3.361T,63.70
72,8411.T,"Mizuho Financial Group, Inc.",132.10,-1.90,-1.42%,70.301M,99.087M,3.35T,7.47
73,BNC.L,"Banco Santander, S.A.",199.08,-10.12,-4.84%,1.024M,28.893M,32.446B,N/A
74,AMAR.JK,PT Bank Amar Indonesia Tbk,418.00,-30.00,-6.70%,"252,200","200,295",3.325T,42.39
75,HDFC.NS,Housing Development Finance Corporation Limited,"1,886.05",-0.70,-0.04%,2.885M,6.884M,3.272T,15.31
76,HDFC.BO,Housing Development Finance Corporation Limited,"1,884.60",-2.15,-0.11%,"68,868","283,887",3.269T,15.30
77,8766.T,"Tokio Marine Holdings, Inc.","4,656.00",-49.00,-1.04%,1.609M,2.212M,3.249T,12.60
78,PRU.L,Prudential plc,"1,245.00",-1.50,-0.12%,2.483M,6.614M,32.48B,41.23
79,BEKS.JK,"PT. Bank Pembangunan Daerah Banten, Tbk",50.00,0.00,0.00%,"13,300","128,283",3.205T,N/A
80,C.MX,Citigroup Inc.,"1,148.00",+7.73,+0.68%,"1,987","61,115",2.355T,158.02
81,AGRO.JK,PT Bank Rakyat Indonesia Agroniaga Tbk,146.00,-5.00,-3.31%,47.264M,24.122M,3.085T,475.57
82,6178.T,"Japan Post Holdings Co., Ltd.",761.90,-7.70,-1.00%,3.202M,5.979M,3.081T,6.37
83,OTP.BD,OTP Bank Nyrt.,"10,920.00",-20.00,-0.18%,"258,234","861,611",3.039T,8.48
84,029780.KS,"Samsung Card Co., Ltd.","28,400.00",+100.00,+0.35%,"96,190","198,765",3.031T,N/A
85,7182.T,"JAPAN POST BANK Co.,Ltd.",807.00,-11.00,-1.34%,2.919M,3.303M,3.025T,11.06
86,PNIN.JK,PT Paninvest Tbk,740.00,0.00,0.00%,"251,400","218,754",3.011T,3.02
87,WFC.MX,Wells Fargo & Company,552.00,-5.00,-0.90%,"1,160","12,031",2.219T,191.00
88,LSE.L,London Stock Exchange Group plc,"8,386.00",+98.00,+1.18%,"167,912","777,108",29.472B,71.01
89,1398.HK,Industrial and Commercial Bank of China Limited,5.130,0.000,0.00%,249.064M,210.563M,3.027T,5.34
90,071055.KS,"Korea Investment Holdings Co., Ltd.","32,800.00",+750.00,+2.34%,"11,614","27,150",2.878T,N/A
91,601398.SS,Industrial and Commercial Bank of China Limited,5.47,-0.09,-1.62%,613.051M,143.618M,2.716T,6.29
92,MREI.JK,PT Maskapai Reasuransi Indonesia Tbk,"5,450.00",0.00,0.00%,100,138,2.822T,16.95
93,071050.KS,"Korea Investment Holdings Co., Ltd.","44,700.00",-350.00,-0.78%,"319,841","362,935",2.79T,N/A
94,005830.KS,"DB Insurance Co., Ltd.","46,400.00",+750.00,+1.64%,"171,753","271,285",2.786T,N/A
95,KOTAKBANK.NS,Kotak Mahindra Bank Limited,"1,352.75",-15.50,-1.13%,3.383M,6.416M,2.677T,30.28
96,KOTAKBANK.BO,Kotak Mahindra Bank Limited,"1,352.30",-16.05,-1.17%,"147,051",1.192M,2.676T,30.27
97,BACA.JK,PT Bank Capital Indonesia Tbk,382.00,0.00,0.00%,"62,500","178,298",2.674T,82.45
98,KREN.JK,PT Kresna Graha Investama Tbk,137.00,0.00,0.00%,21.54M,82.675M,2.495T,22.61
99,016360.KS,"Samsung Securities Co.,Ltd.","27,500.00",+200.00,+0.73%,"348,462","611,152",2.456T,N/A
0,ICICIBANK.BO,ICICI Bank Limited,368.90,-6.80,-1.81%,1.638M,1.795M,2.39T,25.35
1,ICICIBANK.NS,ICICI Bank Limited,368.95,-7.10,-1.89%,46.307M,46.646M,2.388T,25.36
2,MCOR.JK,PT Bank China Construction Bank Indonesia Tbk,145.00,0.00,0.00%,10.868M,6.814M,2.387T,23.95
3,MFIN.JK,Pt Mandala Multifinance Tbk,900.00,+10.00,+1.12%,"90,200","30,964",2.385T,6.09
4,005940.KS,"NH Investment & Securities Co., Ltd.","8,420.00",+70.00,+0.84%,1.255M,1.753M,2.662T,N/A
5,DNAR.JK,PT Bank Oke Indonesia Tbk,270.00,-20.00,-6.90%,"41,400","4,783",2.333T,N/A
6,BERK34.SA,Berkshire Hathaway Inc.,976.92,-0.52,-0.05%,30,"1,112",2.357T,0.16
7,VISA34.SA,Visa Inc.,"1,051.73",0.00,0.00%,0,"1,472",2.285T,189.30
8,RYN.MX,Royal Bank of Canada,"1,541.00",0.00,0.00%,0,317,2.17T,245.15
9,BBKP.JK,PT Bank Bukopin Tbk,187.00,+4.00,+2.19%,140.692M,65.149M,2.179T,10.29
10,LLOY.L,Lloyds Banking Group plc,30.70,-0.03,-0.11%,110.781M,280.395M,21.728B,13.35
11,MS.MX,Morgan Stanley,"1,082.03",0.00,0.00%,0,"4,808",1.671T,224.77
12,2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",89.250,+2.000,+2.29%,53.949M,33.827M,1.978T,9.50
13,BARC.L,Barclays PLC,114.32,-0.64,-0.56%,14.125M,66.187M,19.828B,9.86
14,BBV.BA,"Banco Bilbao Vizcaya Argentaria, S.A.",384.00,-1.00,-0.26%,210,"2,188",1.714T,534.82
15,BAJFINANCE.NS,Bajaj Finance Limited,"3,208.05",-143.90,-4.29%,19.122M,11.374M,1.934T,36.02
16,BAJFINANCE.BO,Bajaj Finance Limited,"3,203.60",-149.15,-4.45%,1.086M,"482,176",1.931T,35.97
17,BLK.MX,"BlackRock, Inc.","12,487.05",0.00,0.00%,52,238,1.859T,462.79
18,GS.MX,"The Goldman Sachs Group, Inc.","4,550.00",0.00,0.00%,0,507,1.531T,246.32
19,SPGI.MX,S&P Global Inc.,"7,525.63",0.00,0.00%,0,436,1.835T,786.30
20,001450.KS,"Hyundai Marine & Fire Insurance Co., Ltd.","23,000.00",+200.00,+0.88%,"295,967","317,545",1.827T,N/A
21,039490.KS,"Kiwoom Securities Co., Ltd.","84,200.00","-4,000.00",-4.54%,"165,816","89,631",1.819T,N/A
22,601318.SS,"Ping An Insurance (Group) Company of China, Ltd.",85.69,+2.47,+2.97%,169.639M,54.816M,1.816T,11.76
23,AIG.BA,"American International Group, Inc.",640.50,-8.50,-1.31%,40,"1,627",1.757T,129.19
24,008560.KS,"Meritz Securities Co., Ltd.","3,100.00",-45.00,-1.43%,1.677M,2.653M,1.962T,N/A
25,BBYB.JK,PT Bank Yudha Bhakti Tbk,290.00,0.00,0.00%,"930,800","188,772",1.769T,102.22
26,3968.HK,"China Merchants Bank Co., Ltd.",41.200,0.000,0.00%,25.249M,16.145M,1.779T,10.18
27,JPMC34.SA,JPMorgan Chase & Co.,248.09,+0.32,+0.13%,10,"3,524",1.509T,55.76
28,SBIN.BO,State Bank of India,191.95,+3.40,+1.80%,7.068M,3.825M,1.714T,8.67
29,SBIN.NS,State Bank of India,191.90,+3.30,+1.75%,143M,65.679M,1.713T,8.66
30,AXP.MX,American Express Company,"2,070.00",-32.00,-1.52%,207,"6,059",1.646T,312.17
31,138930.KS,BNK Financial Group Inc.,"5,150.00",+90.00,+1.78%,1.137M,1.514M,1.671T,N/A
32,8725.T,"MS&AD Insurance Group Holdings, Inc.","2,930.50",-41.50,-1.40%,"798,100",1.39M,1.665T,11.81
33,0939.HK,China Construction Bank Corporation,6.570,+0.010,+0.15%,431.247M,248.734M,1.656T,5.60
34,MSCD34.SA,Mastercard Incorporated,"1,623.79",+1.38,+0.08%,0,814,1.613T,207.51
35,8591.T,ORIX Corporation,"1,307.00",+2.50,+0.19%,9.3M,7.992M,1.631T,5.51
36,600036.SS,"China Merchants Bank Co., Ltd.",40.50,-0.56,-1.36%,182.704M,47.452M,1.6T,10.90
37,601939.SS,China Construction Bank Corporation,7.23,-0.02,-0.28%,205.259M,69.52M,1.504T,6.81
38,MTFN.JK,PT Capitalinc Investment Tbk,50.00,0.00,0.00%,100,51,1.592T,68.59
39,8421.T,Shinkin Central Bank,"226,500.00",-200.00,-0.09%,74,95,1.519T,39.88
40,8604.T,"Nomura Holdings, Inc.",497.30,+3.30,+0.67%,15.411M,15.026M,1.511T,7.51
41,8750.T,"Dai-ichi Life Holdings, Inc.","1,334.50",-31.50,-2.31%,3.569M,4.505M,1.507T,46.81
42,BKSW.JK,PT Bank QNB Indonesia Tbk,73.00,-3.00,-3.95%,"65,700","226,914",1.477T,33.03
43,RBS.L,The Royal Bank of Scotland Group plc,120.65,-1.15,-0.94%,6.986M,28.76M,14.629B,5.36
44,STAN.L,Standard Chartered PLC,433.40,-8.80,-1.99%,2.101M,8.321M,13.679B,9.05
45,3988.HK,Bank of China Limited,2.880,-0.020,-0.69%,427.65M,257.55M,1.484T,4.22
46,000060.KS,"Meritz Fire & Marine Insurance Co., Ltd.","12,750.00",+50.00,+0.39%,"86,011","175,872",1.416T,N/A
47,AMAG.JK,P.T. Asuransi Multi Artha Guna Tbk,282.00,-8.00,-2.76%,"20,900","9,695",1.41T,19.72
48,601988.SS,Bank of China Limited,3.8200,0.0000,0.00%,251.922M,67.426M,1.362T,6.25
49,8697.T,"Japan Exchange Group, Inc.","2,567.00",-66.00,-2.51%,2.078M,1.326M,1.374T,28.87
50,SFAN.JK,PT Surya Fajar Capital Tbk,990.00,-5.00,-0.50%,"28,900","11,243",1.346T,N/A
51,8630.T,"Sompo Holdings, Inc.","3,683.00",-55.00,-1.47%,"887,700",1.194M,1.34T,11.03
52,SMT.L,Scottish Mortgage Investment Trust PLC,896.50,+4.50,+0.50%,3.13M,4.009M,13.201B,N/A
53,LGEN.L,Legal & General Group Plc,216.50,-3.70,-1.68%,4.863M,20.435M,12.917B,7.05
54,BOAC34.SA,Bank of America Corporation,123.97,0.00,0.00%,0,"4,063",1.069T,50.39
55,601288.SS,Agricultural Bank of China Limited,3.7100,-0.0200,-0.54%,461.271M,135.347M,1.27T,6.18
56,BNS.MX,The Bank of Nova Scotia,927.00,0.00,0.00%,0,"2,422",1.097T,N/A
57,AXISBANK.BO,Axis Bank Limited,444.15,-3.15,-0.70%,1.538M,1.475M,1.253T,65.32
58,AXISBANK.NS,Axis Bank Limited,444.15,-3.20,-0.72%,45.872M,41.386M,1.253T,65.32
59,BABP.JK,PT Bank MNC Internasional Tbk,50.00,0.00,0.00%,"5,000","5,703",1.253T,55.37
60,1288.HK,Agricultural Bank of China Limited,3.070,-0.030,-0.97%,131.017M,99.155M,1.395T,4.57
61,DEFI.JK,PT Danasupra Erapacific Tbk,"1,795.00",-5.00,-0.28%,"31,600","5,983",1.234T,98.44
62,USB.MX,U.S. Bancorp,805.25,-4.76,-0.59%,117,286,1.19T,207.38
63,IBRP1.JO,Investec Bank plc,"101,171.00",+33.00,+0.03%,"12,592","1,038",1.201T,"772,297.75"
64,PNBS.JK,PT Bank Panin Dubai Syariah Tbk,50.00,0.00,0.00%,"4,400","421,564",1.186T,90.91
65,138040.KS,Meritz Financial Group Inc.,"8,950.00",-120.00,-1.32%,"92,714","65,253",1.178T,N/A
66,HDFCLIFE.NS,HDFC Life Insurance Company Limited,581.95,-0.65,-0.11%,4.27M,4.785M,1.175T,90.65
67,HDFCLIFE.BO,HDFC Life Insurance Company Limited,581.20,-1.20,-0.21%,"163,357",1.258M,1.174T,90.53
68,BMAS.JK,PT Bank Maspion Indonesia Tbk,266.00,-14.00,-5.00%,"2,000","30,141",1.17T,19.65
69,PYPL34.SA,"PayPal Holdings, Inc.",484.00,+4.76,+0.99%,400,512,1.159T,N/A
70,030190.KQ,"NICE Information Service Co., Ltd.","19,000.00",+200.00,+1.06%,"198,469","440,405",1.153T,N/A
71,ITAUCORP.SN,Itau Corpbanca,2.2100,-0.1000,-4.33%,337.248M,86.809M,1.132T,8.98
72,8729.T,Sony Financial Holdings Inc.,"2,596.00",-2.00,-0.08%,1.875M,1.519M,1.129T,15.18
73,8309.T,"Sumitomo Mitsui Trust Holdings, Inc.","2,976.00",-39.00,-1.29%,"727,300",1.262M,1.115T,6.86
74,TFC.MX,Truist Financial Corporation,816.51,0.00,0.00%,0,0,1.062T,240.36
75,BICECORP.SN,BICECORP SA,"13,000.00",0.00,0.00%,944,42,1.106T,13.35
76,AV.L,Aviva plc,281.75,-3.15,-1.10%,4.73M,16.651M,11.066B,4.47
77,088350.KS,"Hanwha Life Insurance Co., Ltd.","1,400.00",-10.00,-0.71%,2.511M,10.555M,1.052T,N/A
78,BAJAJFINSV.NS,Bajaj Finserv Limited,"6,405.40",-184.20,-2.80%,1.4M,1.231M,1.02T,30.26
79,BAJAJFINSV.BO,Bajaj Finserv Limited,"6,402.45",-194.25,-2.94%,"84,205","40,584",1.019T,30.24
80,601628.SS,China Life Insurance Company Limited,41.02,+3.73,+10.00%,55.582M,15.435M,997.438B,23.72
81,2628.HK,China Life Insurance Company Limited,20.650,+1.350,+6.99%,172.708M,53.3M,1.07T,9.01
82,SAN.MX,"Banco Santander, S.A.",60.61,+0.45,+0.75%,202,"29,816",958.305B,N/A
83,SDRC.L,Schroders plc,"2,130.00",-80.00,-3.62%,"5,023","22,656",9.994B,12.12
84,SDR.L,Schroders plc,"2,981.00",-35.00,-1.16%,"74,420","363,767",9.574B,16.96
85,1299.HK,AIA Group Limited,76.800,+0.200,+0.26%,35.654M,30.39M,928.527B,17.93
86,175330.KS,"JB Financial Group Co., Ltd.","4,755.00",-30.00,-0.63%,"112,434","349,262",924.106B,N/A
