,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,MDT.BA,Medtronic plc,"5,027.00",0.00,0.00%,4,0,577.728T,"1,420.06"
1,KLBF.JK,PT Kalbe Farma Tbk.,"1,520.00",+5.00,+0.33%,18.521M,36.528M,71.25T,27.61
2,207940.KS,"Samsung Biologics Co.,Ltd.","736,000.00","-15,000.00",-2.00%,"285,553","357,338",48.697T,N/A
3,068270.KS,"Celltrion, Inc.","311,500.00","+3,000.00",+0.97%,"699,925",1.279M,41.583T,N/A
4,MIKA.JK,PT Mitra Keluarga Karyasehat Tbk,"2,360.00",-20.00,-0.84%,17.778M,5.052M,33.615T,45.17
5,JNJ.BA,Johnson & Johnson,"3,139.50",+19.50,+0.63%,225,"1,240",26.813T,489.93
6,326030.KS,"SK Biopharmaceuticals Co., Ltd.","217,000.00",+500.00,+0.23%,5.914M,N/A,18.353T,N/A
7,SIDO.JK,PT Industri Jamu dan Farmasi Sido Muncul Tbk,"1,225.00",-5.00,-0.41%,11.55M,4.811M,18.233T,21.96
8,091990.KQ,"Celltrion Healthcare Co., Ltd.","105,100.00",-600.00,-0.57%,1.856M,N/A,14.867T,N/A
9,MRK.BA,"Merck & Co., Inc.","1,748.50",+18.00,+1.04%,25,"1,117",14.205T,443.22
10,PFE.BA,Pfizer Inc.,"1,850.00",-42.50,-2.25%,"1,046","4,669",13.03T,660.95
11,ABT.BA,Abbott Laboratories,"5,150.00",+11.50,+0.22%,8,346,11.598T,"10,346.56"
12,AZN.L,AstraZeneca PLC,"8,552.00",+15.00,+0.18%,"757,025",2.359M,112.225B,73.92
13,BMY.BA,Bristol-Myers Squibb Company,"6,586.50",0.00,0.00%,14,242,10.85T,N/A
14,TMO.BA,Thermo Fisher Scientific Inc.,"3,823.00",0.00,0.00%,"13,013","1,024",10.626T,419.10
15,CARE.JK,PT Metro Healthcare Indonesia Tbk,318.00,0.00,0.00%,7.017M,62.222M,10.574T,N/A
16,4519.T,"Chugai Pharmaceutical Co., Ltd.","5,533.00",+43.00,+0.78%,2.997M,1.333M,9.089T,52.28
17,HEAL.JK,PT Medikaloka Hermina Tbk,"3,000.00",+30.00,+1.01%,"811,500","774,796",8.919T,33.50
18,JNJ.MX,Johnson & Johnson,"3,265.00",+7.21,+0.22%,205,"3,423",8.428T,509.52
19,SILO.JK,PT Siloam International Hospitals Tbk,"5,125.00",+25.00,+0.49%,"82,000","109,633",8.332T,N/A
20,GSK.L,GlaxoSmithKline plc,"1,602.60",-14.40,-0.89%,2.025M,8.879M,80.407B,14.98
21,ROGN.MX,Roche Holding AG,"7,877.10",0.00,0.00%,1,111,6.707T,641.35
22,GILD.BA,"Gilead Sciences, Inc.","2,100.00",+13.00,+0.62%,116,"1,780",6.825T,539.01
23,UNH.MX,UnitedHealth Group Incorporated,"6,780.00",0.00,0.00%,0,790,6.282T,474.46
24,TSPC.JK,PT Tempo Scan Pacific Tbk,"1,400.00",-60.00,-4.11%,1.096M,"119,753",6.3T,9.91
25,KAEF.JK,PT Kimia Farma (Persero) Tbk,"1,130.00",0.00,0.00%,4.322M,9.076M,6.276T,N/A
26,4502.T,Takeda Pharmaceutical Company Limited,"3,766.00",-28.00,-0.74%,3.619M,5.413M,5.867T,133.31
27,4568.T,"Daiichi Sankyo Company, Limited","8,516.00",-55.00,-0.64%,1.114M,1.449M,5.519T,42.84
28,EPMT.JK,PT Enseval Putera Megatrading Tbk,"1,885.00",+25.00,+1.34%,"3,900","22,516",5.106T,8.18
29,MRK.MX,"Merck & Co., Inc.","1,795.00",0.00,0.00%,1,"5,817",4.437T,455.01
30,NVSN.MX,Novartis AG,"1,970.00",0.00,0.00%,0,905,4.508T,374.38
31,PFE.MX,Pfizer Inc.,773.95,-1.05,-0.14%,"1,681","13,474",4.215T,276.51
32,068760.KQ,"Celltrion Pharm, Inc.","123,200.00",+100.00,+0.08%,"248,580","834,559",4.195T,N/A
33,7741.T,HOYA Corporation,"10,730.00",-175.00,-1.60%,"943,900",1.056M,3.995T,35.44
34,196170.KQ,ALTEOGEN Inc.,"293,100.00","+12,100.00",+4.31%,"532,329","152,655",3.98T,N/A
35,ABBV.MX,AbbVie Inc.,"2,266.00",0.00,0.00%,0,"1,055",3.909T,401.06
36,096530.KQ,"Seegene, Inc.","146,700.00","+14,400.00",+10.88%,9.27M,"359,334",3.813T,N/A
37,ABT.MX,Abbott Laboratories,"2,098.00",-14.00,-0.66%,16,"2,484",3.628T,"1,053.74"
38,LLY.MX,Eli Lilly and Company,"3,665.00",0.00,0.00%,0,646,3.561T,607.19
39,AMGN.MX,Amgen Inc.,"5,749.61",-30.39,-0.53%,6,270,3.308T,450.14
40,NVON.MX,Novo Nordisk A/S,"1,440.00",0.00,0.00%,249,"4,376",3.406T,584.89
41,2413.T,"M3, Inc.","4,860.00",-15.00,-0.31%,2.958M,2.734M,3.298T,152.45
42,4503.T,Astellas Pharma Inc.,"1,732.50",-6.00,-0.35%,3.528M,5.195M,3.218T,16.65
43,AZNN.MX,AstraZeneca PLC,"1,220.35",-1.60,-0.13%,10,"2,620",3.121T,"2,109.51"
44,PRDA.JK,PT Prodia Widyahusada Tbk,"3,340.00",+80.00,+2.45%,"55,800","62,693",3.131T,15.89
45,000100.KS,Yuhan Corporation,"50,900.00","-1,200.00",-2.30%,"448,690","798,144",3.118T,N/A
46,INAF.JK,PT Indofarma (Persero) Tbk,"1,005.00",+10.00,+1.01%,"851,100",4.23M,3.115T,N/A
47,BIIB.BA,Biogen Inc.,"2,256.50",0.00,0.00%,13,186,3.098T,69.65
48,BMY.MX,Bristol-Myers Squibb Company,"1,362.41",-4.97,-0.36%,94,"3,277",3.035T,"2,655.77"
49,4543.T,Terumo Corporation,"4,022.00",-12.00,-0.30%,2.047M,2.202M,3.026T,35.72
50,SNYN.MX,Sanofi,"1,170.00",0.00,0.00%,3,0,2.973T,603.09
51,DHR.MX,Danaher Corporation,"4,054.63",0.00,0.00%,0,216,2.874T,919.00
52,128940.KS,"Hanmi Pharm. Co., Ltd.","243,500.00","-1,000.00",-0.41%,"45,328","67,325",2.864T,N/A
