,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,UNTR.JK,PT United Tractors Tbk,"18,450.00","+1,125.00",+6.49%,6.251M,3.364M,68.821T,6.83
1,010145.KS,"Samsung Heavy Industries Co., Ltd.","687,000.00","+158,000.00",+29.87%,"182,050","58,778",54.75T,N/A
2,JSMR.JK,PT Jasa Marga (Persero) Tbk,"4,440.00",+50.00,+1.14%,7.744M,18.702M,32.225T,14.58
3,TCPI.JK,PT Transcoal Pacific Tbk,"4,130.00",+80.00,+1.98%,10.191M,10.188M,20.65T,98.33
4,02826K.KS,Samsung C&T Corporation,"88,200.00",0.00,0.00%,"9,092","43,464",18.192T,N/A
5,028260.KS,Samsung C&T Corporation,"108,500.00","-2,000.00",-1.81%,"443,309","640,299",17.863T,N/A
6,WIKA.JK,PT Wijaya Karya (Persero) Tbk.,"1,235.00",+50.00,+4.22%,61.879M,42.325M,11.077T,5.28
7,000725.KS,"Hyundai Engineering & Construction Co., Ltd.","309,000.00","+71,000.00",+29.83%,"155,284","10,949",10.38T,N/A
8,WSKT.JK,PT Waskita Karya (Persero) Tbk,725.00,+15.00,+2.11%,60.359M,50.098M,9.841T,37.86
9,COPEC.SN,Empresas Copec S.A.,"6,115.00",-196.00,-3.11%,"91,249","169,199",7.949T,N/A
10,LMT.BA,Lockheed Martin Corporation,"39,082.50",0.00,0.00%,1,206,7.01T,"1,773.49"
11,GIAA.JK,PT. Garuda Indonesia (Persero) Tbk,248.00,0.00,0.00%,32.663M,47.093M,6.42T,N/A
12,MMM.BA,3M Company,"3,391.50",-28.50,-0.83%,95,"1,638",6.248T,"1,591.69"
13,PTPP.JK,PT PP (Persero) Tbk,"1,005.00",+15.00,+1.52%,67.542M,62.504M,6.231T,8.07
14,JKON.JK,PT Jaya Konstruksi Manggala Pratama Tbk,372.00,-28.00,-7.00%,"40,400","5,317",6.067T,30.46
15,009540.KS,"Korea Shipbuilding & Offshore Engineering Co., Ltd.","85,700.00","-1,000.00",-1.15%,"184,474","385,241",6.06T,N/A
16,6098.T,"Recruit Holdings Co., Ltd.","3,630.00",-13.00,-0.36%,3.983M,5.818M,5.984T,33.59
17,180640.KS,Hanjin Kal Corp.,"89,700.00","+4,300.00",+5.04%,"917,172",1.922M,5.384T,N/A
18,6367.T,"Daikin Industries,Ltd.","18,365.00",+200.00,+1.10%,"863,800","750,340",5.373T,31.49
19,18064K.KS,Hanjin Kal Corp.,"53,400.00","+1,400.00",+2.69%,"59,572","102,798",5.264T,N/A
20,CAT.BA,Caterpillar Inc.,"2,800.00",+20.00,+0.72%,45,292,4.906T,295.86
21,GE.BA,General Electric Company,742.00,-14.50,-1.92%,"6,484","8,647",4.058T,N/A
22,KINO.JK,PT Kino Indonesia Tbk,"3,450.00",-70.00,-1.99%,2.56M,1.777M,4.929T,18.11
23,CMNP.JK,PT Citra Marga Nusaphala Persada Tbk,"1,300.00",-70.00,-5.11%,"131,800","8,180",4.707T,6.51
24,HITS.JK,PT Humpuss Intermoda Transportasi Tbk.,630.00,+10.00,+1.61%,"9,200","8,658",4.308T,"315,000.00"
25,6594.T,Nidec Corporation,"7,074.00",-130.00,-1.80%,1.426M,1.732M,4.145T,69.27
26,086280.KS,"Hyundai Glovis Co., Ltd.","107,000.00",0.00,0.00%,"89,259","131,039",4.013T,N/A
27,000720.KS,"Hyundai Engineering & Construction Co., Ltd.","34,450.00",+550.00,+1.62%,"595,041",1.147M,3.836T,N/A
28,6273.T,SMC Corporation,"56,530.00",-820.00,-1.43%,"228,400","199,887",3.76T,34.13
29,6954.T,Fanuc Corporation,"19,320.00",-220.00,-1.13%,"616,100","944,537",3.665T,50.59
30,BULL.JK,PT Buana Lintas Lautan Tbk,306.00,+2.00,+0.66%,101.774M,91.944M,3.62T,"76,500.00"
31,078935.KS,GS Holdings Corp.,"29,600.00",-100.00,-0.34%,"4,712","12,517",3.455T,N/A
32,078930.KS,GS Holdings Corp.,"36,650.00",-100.00,-0.27%,"159,525","271,133",3.457T,N/A
33,267250.KS,"Hyundai Heavy Industries Holdings Co., Ltd.","244,500.00",0.00,0.00%,"24,790","45,883",3.456T,N/A
34,010140.KS,"Samsung Heavy Industries Co., Ltd.","5,720.00",-10.00,-0.17%,4.474M,13.889M,3.455T,N/A
35,8001.T,ITOCHU Corporation,"2,307.50",-15.00,-0.65%,3.447M,3.611M,3.444T,6.88
36,028300.KQ,"HLB Co., Ltd.","86,200.00","-2,700.00",-3.04%,"699,544","968,049",3.374T,N/A
37,8058.T,Mitsubishi Corporation,"2,276.50",+6.50,+0.29%,3.766M,4.56M,3.367T,6.55
38,001045.KS,CJ Corporation,"45,100.00",0.00,0.00%,"5,951","18,673",3.313T,N/A
39,000215.KS,"Daelim Industrial Co., Ltd.","38,200.00",+400.00,+1.06%,"23,209","21,181",3.302T,N/A
40,6501.T,"Hitachi, Ltd.","3,391.00",-63.00,-1.82%,2.654M,3.285M,3.276T,37.38
41,001040.KS,CJ Corporation,"87,600.00","-2,500.00",-2.77%,"76,283","98,873",3.221T,N/A
42,9022.T,Central Japan Railway Company,"15,620.00",-290.00,-1.82%,"561,100","437,120",3.067T,7.70
43,ANTARCHILE.SN,AntarChile S.A.,"6,700.00",-32.00,-0.48%,"8,956","5,838",3.058T,N/A
44,MEL.L,Mitsubishi Electric Corporation,"1,405.00",-19.00,-1.33%,"15,800","219,404",2.995T,13.59
45,012750.KS,S-1 Corporation,"89,800.00","+1,500.00",+1.70%,"45,948","56,412",3.036T,N/A
46,6503.T,Mitsubishi Electric Corporation,"1,405.00",-10.00,-0.71%,3.211M,4.014M,3.014T,13.59
47,000120.KS,CJ Logistics Corporation,"163,000.00","-3,000.00",-1.81%,"46,923","68,927",2.959T,N/A
48,KIJA.JK,PT Kawasan Industri Jababeka Tbk,141.00,-1.00,-0.70%,"669,900",6.99M,2.936T,N/A
49,000210.KS,"Daelim Industrial Co., Ltd.","83,300.00","-1,400.00",-1.65%,"148,959","310,863",2.899T,N/A
50,HEXA.JK,PT Hexindo Adiperkasa Tbk,"3,410.00",+160.00,+4.92%,"143,300","472,509",2.864T,"74,130.44"
51,001745.KS,SK Networks Company Limited,"210,500.00","+48,500.00",+29.94%,"165,018","23,172",2.774T,N/A
52,OMZZP.ME,Open Joint Stock Company OMZ,"3,260.00",-20.00,-0.61%,5,132,2.76T,N/A
53,000885.KS,Hanwha Corporation,"49,900.00",+50.00,+0.10%,"667,978","191,030",2.718T,N/A
54,9020.T,East Japan Railway Company,"7,235.00",-38.00,-0.52%,1.529M,1.134M,2.729T,13.78
55,00088K.KS,Hanwha Corporation,"11,550.00",-50.00,-0.43%,"39,741","182,239",2.703T,N/A
56,ARNA.JK,PT Arwana Citramulia Tbk,370.00,0.00,0.00%,"743,200","543,925",2.7T,12.02
57,BIRD.JK,PT Blue Bird Tbk,"1,070.00",-20.00,-1.83%,"969,300",2.05M,2.677T,11.18
58,000880.KS,Hanwha Corporation,"22,500.00",-300.00,-1.32%,"222,325","749,062",2.679T,N/A
59,EXPN.L,Experian plc,"2,871.00",-2.00,-0.07%,"366,342",2.279M,26.311B,38.69
60,241560.KS,Doosan Bobcat Inc.,"26,200.00",-50.00,-0.19%,"267,675","969,286",2.627T,N/A
