,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,POLL.JK,PT Pollux Properti Indonesia Tbk,"5,350.00",-150.00,-2.73%,"21,800","164,075",44.506T,406.69
1,PWON.JK,PT Pakuwon Jati Tbk,420.00,+8.00,+1.94%,105.475M,149.667M,20.227T,9.79
2,BSDE.JK,PT Bumi Serpong Damai Tbk,775.00,+35.00,+4.73%,66.976M,54.337M,14.716T,6.05
3,CTRA.JK,PT Ciputra Development Tbk,640.00,+25.00,+4.07%,55.6M,45.061M,11.863T,11.27
4,LPKR.JK,PT Lippo Karawaci Tbk,162.00,-1.00,-0.61%,15.711M,17.356M,11.436T,N/A
5,SMRA.JK,PT Summarecon Agung Tbk,615.00,+20.00,+3.36%,45.921M,41.628M,8.872T,17.40
6,KPIG.JK,PT MNC Land Tbk,110.00,-1.00,-0.90%,7.433M,3.133M,8.869T,46.18
7,PLIN.JK,PT Plaza Indonesia Realty Tbk,"2,500.00",0.00,0.00%,300,"8,611",8.839T,17.18
8,DMAS.JK,PT Puradelta Lestari Tbk,181.00,+16.00,+9.70%,295.471M,84.565M,8.724T,6.32
9,DUTI.JK,PT Duta Pertiwi Tbk,"4,680.00",0.00,0.00%,600,996,8.658T,8.71
10,MPRO.JK,PT Maha Properti Indonesia Tbk,870.00,0.00,0.00%,"1,700",783,8.65T,186.34
11,KOTA.JK,PT DMS Propertindo Tbk,640.00,+5.00,+0.79%,8.801M,6.04M,6.748T,N/A
12,JRPT.JK,"PT Jaya Real Property, Tbk.",420.00,-18.00,-4.11%,1.979M,1.448M,5.739T,5.77
13,URBN.JK,PT Urban Jakarta Propertindo Tbk,"1,555.00",-10.00,-0.64%,"157,200","114,364",5.026T,51.05
14,RISE.JK,PT Jaya Sukses Makmur Sentosa Tbk,476.00,+4.00,+0.85%,"467,800","404,483",4.736T,323.15
15,NIRO.JK,PT City Retail Developments Tbk,140.00,0.00,0.00%,"56,300",1.604M,3.108T,65.21
16,PPRO.JK,PT Pembangunan Perumahan Properti Tbk,50.00,0.00,0.00%,3.795M,57.95M,3.084T,9.31
17,MTLA.JK,PT Metropolitan Land Tbk,398.00,+10.00,+2.58%,800,"13,959",3.047T,6.51
18,MALLPLAZA.SN,Plaza S.A.,"1,468.00",+13.00,+0.89%,"44,230","114,897",2.877T,31.29
19,CENCOSHOPP.SN,Cencosud Shopping S.A.,"1,605.00",0.00,0.00%,"1,002","957,858",2.738T,9.03
20,AMT.MX,American Tower Corporation (REIT),"5,897.80",0.00,0.00%,0,158,2.633T,"1,377.99"
21,BKSL.JK,PT Sentul City Tbk,50.00,0.00,0.00%,"591,900",56.388M,2.606T,55.80
22,ASRI.JK,PT Alam Sutera Realty Tbk,132.00,+4.00,+3.12%,61.136M,45.42M,2.594T,2.56
23,APLN.JK,PT Agung Podomoro Land Tbk,114.00,+3.00,+2.70%,23.171M,20.967M,2.458T,N/A
24,JSPT.JK,PT Jakarta Setiabudi Internasional Tbk,995.00,0.00,0.00%,"3,000",248,2.307T,20.80
25,LPCK.JK,PT Lippo Cikarang Tbk,860.00,+15.00,+1.78%,"603,200",1.009M,2.304T,1.72
26,POLI.JK,"PT Pollux Investasi Internasional, Tbk","1,145.00",-25.00,-2.14%,"20,200","23,858",2.302T,49.30
27,ELTY.JK,PT Bakrieland Development Tbk,50.00,0.00,0.00%,100,"4,569",2.176T,N/A
28,8802.T,"Mitsubishi Estate Co., Ltd.","1,576.50",-5.00,-0.32%,2.897M,4.495M,2.11T,14.51
29,DILD.JK,PT Intiland Development Tbk,184.00,+1.00,+0.55%,3.741M,"980,222",1.889T,6.64
30,GMTD.JK,PT Gowa Makassar Tourism Development Tbk,"17,975.00",0.00,0.00%,600,120,1.825T,N/A
31,8801.T,"Mitsui Fudosan Co., Ltd.","1,857.00",-7.00,-0.38%,2.634M,4.36M,1.797T,9.87
32,1925.T,"Daiwa House Industry Co.,Ltd.","2,454.00",-27.00,-1.09%,2.443M,2.164M,1.616T,6.98
33,PLD.MX,"Prologis, Inc.","2,167.49",0.00,0.00%,0,257,1.564T,828.23
34,NASA.JK,PT Ayana Land International Tbk,131.00,-9.00,-6.43%,"97,500","744,083",1.442T,"2,620.00"
35,EQIX.MX,"Equinix, Inc. (REIT)","16,020.00",0.00,0.00%,0,122,1.425T,"2,702.89"
36,PARAUCO.SN,Parque Arauco S.A.,"1,560.00",-45.00,-2.80%,"33,955","205,876",1.413T,16.69
37,RDTX.JK,PT Roda Vivatex Tbk,"4,950.00",0.00,0.00%,100,"4,808",1.327T,5.72
38,8830.T,"Sumitomo Realty & Development Co., Ltd.","2,781.00",-36.50,-1.30%,1.564M,1.383M,1.318T,9.35
39,MMLP.JK,PT Mega Manunggal Property Tbk,189.00,-1.00,-0.53%,1.857M,1.625M,1.302T,12.60
40,BEST.JK,PT Bekasi Fajar Industrial Estate Tbk,123.00,+4.00,+3.36%,29.276M,37.819M,1.187T,20.33
