,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,005935.KS,"Samsung Electronics Co., Ltd.","46,500.00","-1,100.00",-2.31%,3.089M,2.117M,348.918T,N/A
1,005930.KS,"Samsung Electronics Co., Ltd.","53,000.00",-400.00,-0.75%,19.396M,20.04M,354.497T,N/A
2,AAPL.BA,Apple Inc.,"4,205.00",+93.50,+2.27%,"1,390","14,292",117.223T,"3,303.74"
3,MSFT.BA,Microsoft Corporation,"4,670.00",+68.50,+1.49%,910,"8,027",113.688T,778.07
4,000660.KS,"SK hynix, Inc.","83,700.00","-1,100.00",-1.30%,3.493M,3.949M,57.251T,N/A
5,AAPL.MX,Apple Inc.,"8,669.00",+141.92,+1.66%,530,"7,503",36.669T,681.10
6,MSFT.MX,Microsoft Corporation,"4,805.99",+31.41,+0.66%,980,"11,286",35.494T,800.73
7,006405.KS,"Samsung SDI Co., Ltd.","239,000.00","+2,000.00",+0.84%,"22,645","61,279",26.144T,N/A
8,006400.KS,"Samsung SDI Co., Ltd.","385,500.00","-5,500.00",-1.41%,"499,416","700,113",25.561T,N/A
9,03473K.KS,"SK Holdings Co., Ltd","272,500.00","+14,000.00",+5.42%,"262,738","94,438",24.85T,N/A
10,NVDA.BA,NVIDIA Corporation,"3,748.00",+108.00,+2.97%,120,"1,088",17.692T,"2,802.77"
11,INTC.BA,Intel Corporation,"1,300.00",+11.00,+0.85%,500,"2,758",17.408T,252.04
12,ADBE.BA,Adobe Inc.,"4,506.50",0.00,0.00%,22,15,15.251T,"2,973.02"
13,018260.KS,"Samsung SDS Co.,Ltd.","178,000.00","+1,000.00",+0.56%,"121,812","204,442",13.768T,N/A
14,CSCO.BA,"Cisco Systems, Inc.","1,019.00",+17.50,+1.75%,45,"1,778",13.891T,404.04
15,034730.KS,"SK Holdings Co., Ltd","252,500.00","-8,500.00",-3.26%,1.027M,"741,333",13.207T,N/A
16,066575.KS,LG Electronics Inc.,"26,100.00",+400.00,+1.56%,"68,335","96,085",12.426T,N/A
17,003555.KS,LG Corp.,"46,400.00",-650.00,-1.38%,"9,008","18,548",12.452T,N/A
18,066570.KS,LG Electronics Inc.,"66,400.00",+900.00,+1.37%,1.105M,"916,263",12.404T,N/A
19,CRM.BA,"salesforce.com, inc.","3,651.00",0.00,0.00%,276,24,12.519T,N/A
20,003550.KS,LG Corp.,"69,300.00","-2,000.00",-2.81%,"364,871","323,386",11.952T,N/A
21,6861.T,Keyence Corporation,"44,560.00",-140.00,-0.31%,"505,300","540,353",10.807T,54.55
22,SLIS.JK,PT Gaya Abadi Sempurna Tbk,"5,250.00",0.00,0.00%,"364,800","225,417",10.5T,285.70
23,009155.KS,"Samsung Electro-Mechanics Co., Ltd.","58,900.00",+700.00,+1.20%,"17,981","65,336",9.504T,N/A
24,009150.KS,"Samsung Electro-Mechanics Co., Ltd.","128,000.00","+1,000.00",+0.79%,"316,496","717,487",9.305T,N/A
25,SNE.BA,Sony Corporation,"3,886.00",+64.00,+1.67%,16,104,9.217T,N/A
26,6758.T,Sony Corporation,"7,430.00",-72.00,-0.96%,3.266M,5.721M,9.066T,16.11
27,2330.TW,Taiwan Semiconductor Manufacturing Company Limited,341.00,+2.50,+0.74%,30.538M,41.934M,8.842T,22.06
28,AAPL34.SA,Apple Inc.,204.40,+2.89,+1.43%,"1,060","19,219",8.778T,160.59
29,MSFT34.SA,Microsoft Corporation,"1,136.01",-43.99,-3.73%,80,"3,335",8.145T,189.27
30,TXN.BA,Texas Instruments Incorporated,"2,920.00",+5.00,+0.17%,10,27,8.365T,559.60
31,TCS.NS,Tata Consultancy Services Limited,"2,218.90",-51.00,-2.25%,2.793M,3.616M,8.326T,25.75
32,TCS.BO,Tata Consultancy Services Limited,"2,217.65",-52.30,-2.30%,"107,819","190,465",8.321T,25.73
33,QCOM.BA,QUALCOMM Incorporated,946.00,+15.00,+1.61%,748,"4,049",7.452T,277.75
34,IBM.BA,International Business Machines Corporation,"2,629.00",+29.00,+1.12%,175,557,7.469T,260.40
35,SMSNN.MX,"Samsung Electronics Co., Ltd.","25,089.92",0.00,0.00%,0,64,6.685T,160.78
36,TSMN.MX,Taiwan Semiconductor Manufacturing Company Limited,"1,385.00",0.00,0.00%,0,"1,961",6.648T,621.08
37,AMD.BA,"Advanced Micro Devices, Inc.","11,601.00",-80.00,-0.68%,38,N/A,5.894T,"27,232.39"
