,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,PGAS.JK,PT Perusahaan Gas Negara Tbk,"1,170.00",+30.00,+2.63%,213.135M,176.576M,28.363T,"585,000.00"
1,015760.KS,Korea Electric Power Corporation,"19,050.00",+50.00,+0.26%,2.674M,3.017M,12.229T,N/A
2,ENELAM.SN,Enel Americas S.A.,128.85,-1.87,-1.43%,10.161M,31.115M,9.827T,"5,602.17"
3,POWR.JK,PT Cikarang Listrindo Tbk,605.00,0.00,0.00%,2.482M,1.686M,9.533T,"100,833.34"
4,ENELCHILE.SN,Enel Chile S.A.,66.60,-1.40,-2.06%,3.39M,14.071M,4.606T,23.91
5,NG.L,National Grid plc,899.00,+6.00,+0.67%,5.124M,9.353M,31.556B,24.77
6,NEE.MX,"NextEra Energy, Inc.","5,616.77",0.00,0.00%,0,257,2.749T,780.65
7,ENELGXCH.SN,Enel Generacion Chile S.A.,325.30,0.00,0.00%,"2,249","173,767",2.668T,27.05
8,COLBUN.SN,Colbun S.A.,139.10,-0.89,-0.64%,"831,479",3.292M,2.439T,"13,910.00"
9,036460.KS,Korea Gas Corporation,"26,300.00",0.00,0.00%,"107,087","276,681",2.257T,N/A
10,IBEN.MX,"Iberdrola, S.A.",264.91,0.00,0.00%,996,"2,003",1.981T,519.43
11,AGUAS-A.SN,Aguas Andinas S.A.,293.09,-3.71,-1.25%,"584,279",2.479M,1.793T,13.45
12,SSE.L,SSE plc,"1,341.50",+11.00,+0.83%,1.198M,3.873M,13.944B,N/A
13,DUK.MX,Duke Energy Corporation,"1,802.00",0.00,0.00%,0,0,1.326T,356.34
14,ECL.SN,Engie Energia Chile S.A.,"1,192.00",-23.00,-1.89%,"90,211","117,852",1.256T,"13,393.26"
15,KEEN.JK,PT Kencana Energi Lestari Tbk,330.00,0.00,0.00%,1.995M,1.394M,1.21T,"164,999.98"
16,9531.T,"Tokyo Gas Co.,Ltd.","2,575.50",-16.00,-0.62%,"941,100",1.196M,1.136T,26.26
17,AESGENER.SN,AES Gener S.A.,125.00,-0.12,-0.10%,"855,250",1.912M,1.05T,"8,333.33"
18,9502.T,"Chubu Electric Power Company, Incorporated","1,334.50",+3.00,+0.23%,1.905M,1.879M,1.009T,6.18
19,PEHUENCHE.SN,Empresa Electrica Pehuenche S.A.,"1,640.00",0.00,0.00%,"3,324",705,1.005T,12.51
20,9503.T,"The Kansai Electric Power Company, Incorporated","1,060.50",-1.50,-0.14%,2.218M,2.492M,947.179B,7.29
21,NTPC.NS,NTPC Limited,91.00,-1.55,-1.67%,26.242M,16.418M,900.405B,7.76
22,NTPC.BO,NTPC Limited,91.00,-1.55,-1.67%,"835,375","625,348",900.405B,7.76
23,POWERGRID.BO,Power Grid Corporation of India Limited,169.85,-3.55,-2.05%,"724,703","510,567",888.586B,8.03
24,POWERGRID.NS,Power Grid Corporation of India Limited,169.75,-3.35,-1.94%,9.457M,11.66M,889.602B,8.03
25,9532.T,"Osaka Gas Co., Ltd.","2,132.00",0.00,0.00%,"686,500",1.119M,886.454B,21.21
26,CGE.SN,Compania General de Electricidad S.A.,429.82,+1.68,+0.39%,531,"12,960",868.193B,10.61
27,EXC.MX,Exelon Corporation,838.99,0.00,0.00%,0,N/A,805.008B,313.06
28,IAM.SN,Inversiones Aguas Metropolitanas S.A.,739.99,+0.09,+0.01%,"9,767","135,956",739.99B,11.29
29,EOAN.PR,E.ON SE,263.00,0.00,0.00%,3,15,714.655B,N/A
30,ADANIGREEN.NS,Adani Green Energy Limited,393.10,-20.65,-4.99%,2.943M,1.116M,614.667B,N/A
31,UU.L,United Utilities Group PLC,883.40,-0.40,-0.05%,"641,119",2.462M,6.024B,56.63
32,SVT.L,Severn Trent Plc,"2,433.00",+5.00,+0.21%,"212,899","719,333",5.808B,36.70
33,9533.T,"Toho Gas Co., Ltd.","5,340.00",-30.00,-0.56%,"206,100","283,553",563.925B,34.76
34,9504.T,"The Chugoku Electric Power Co., Inc.","1,418.00",-3.00,-0.21%,"673,200","883,589",510.948B,6.86
35,9501.T,"Tokyo Electric Power Company Holdings, Incorporated",315.00,-3.00,-0.94%,6.519M,7.509M,504.696B,31.13
36,9506.T,"Tohoku Electric Power Company, Incorporated","1,001.00",0.00,0.00%,1.295M,1.143M,499.849B,8.53
37,RAJA.JK,PT Rukun Raharja Tbk,111.00,0.00,0.00%,4.843M,17.745M,469.206B,"110,999.99"
38,EGCO-R.BK,Electricity Generating Public Company Limited,254.00,-7.00,-2.68%,1.344M,N/A,463.807B,3.76
39,GAIL.BO,GAIL (India) Limited,102.70,0.00,0.00%,"427,756","866,880",463.191B,4.92
40,GAIL.NS,GAIL (India) Limited,102.70,-0.15,-0.15%,15.115M,16.506M,462.516B,4.92
41,PNN.L,Pennon Group Plc,"1,073.00",+5.50,+0.52%,"539,574",1.194M,4.518B,22.59
42,600900.SS,"China Yangtze Power Co.,Ltd.",19.18,-0.14,-0.72%,34.454M,18.516M,421.96B,20.15
43,CGEGAS.SN,CGE Gas Natural S.A.,200.00,+1.69,+0.85%,"21,566","62,091",420.23B,6.77
44,9508.T,"Kyushu Electric Power Company, Incorporated",885.00,+6.00,+0.68%,1.068M,1.29M,418.596B,N/A
45,GULF.BK,Gulf Energy Development Public Company Limited,38.50,0.00,0.00%,23.412M,50.469M,410.66B,129.19
46,071320.KS,Korea District Heating Corp.,"32,500.00",-550.00,-1.66%,"20,307","11,405",376.308B,N/A
47,IRAO.ME,Public Joint Stock Company Inter RAO UES,5.08,+0.02,+0.40%,131.311M,216.078M,373.586B,4.38
48,GASCO.SN,Empresas Gasco S.A.,"2,213.40",+41.20,+1.90%,911,"5,126",371.851B,19.34
49,RG2A.F,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,0.8730,+0.0030,+0.34%,"1,780","2,173",3.982B,2.91
50,015350.KS,Busan City Gas. Co. Ltd.,"36,700.00",+150.00,+0.41%,"1,774","4,418",367.037B,N/A
51,ORSTED.CO,Orsted A/S,840.80,+38.80,+4.84%,"672,658","429,899",353.191B,41.10
52,RSTIP.ME,"Rosseti, Public Joint Stock Company",2.1010,+0.0290,+1.40%,3.695M,19.033M,348.825B,5.66
53,HYDR.ME,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,0.7763,+0.0198,+2.62%,986.995M,1.02B,327.938B,23.52
54,9513.T,"Electric Power Development Co., Ltd.","1,779.00",-16.00,-0.89%,"716,100","751,570",325.644B,7.70
55,DUKB34.SA,Duke Energy Corporation,431.39,-4.76,-1.09%,10,259,314.702B,85.31
56,RSTI.ME,"Rosseti, Public Joint Stock Company",1.5472,+0.0257,+1.69%,119.928M,401.19M,307.622B,4.17
57,T1SO34.SA,The Southern Company,284.14,0.00,0.00%,0,366,298.242B,85.33
58,D1OM34.SA,"Dominion Energy, Inc.",199.32,0.00,0.00%,0,530,333.702B,95.60
59,SPCG-R.BK,SPCG Public Company Limited,18.00,+0.90,+5.26%,5.547M,N/A,297.808B,6.43
60,IGL.NS,Indraprastha Gas Limited,410.95,-4.60,-1.11%,7.355M,3.775M,287.527B,23.04
61,IGL.BO,Indraprastha Gas Limited,410.90,-4.45,-1.07%,"281,322","109,354",287.63B,23.03
62,ADANITRANS.BO,Adani Transmission Limited,249.75,-4.80,-1.89%,"24,820","91,310",274.678B,76.61
63,ADANITRANS.NS,Adani Transmission Limited,249.75,-5.05,-1.98%,"324,597",1.011M,274.408B,76.61
64,017390.KS,"Seoul City Gas Co., Ltd.","68,100.00",-200.00,-0.29%,87,624,264.518B,N/A
65,CEZ.PR,"CEZ, a. s.",485.00,+5.00,+1.04%,"81,168","258,368",259.688B,14.17
66,ESVAL-C.SN,Esval S.A.,0.0170,0.0000,0.00%,50M,17.642M,254.359B,17.00
67,GUJGAS.BO,Gujarat Gas Limited,294.95,-14.95,-4.82%,"353,591","59,031",203.041B,16.94
68,004690.KS,"Samchully Co.,Ltd","71,400.00",+200.00,+0.28%,"16,562","10,480",244.481B,N/A
69,FEES.ME,Public Joint-Stock Company Federal Grid Company of Unified Energy System,0.1924,+0.0027,+1.42%,1.137B,2.671B,242.605B,3.05
70,CNA.L,Centrica plc,39.54,-0.09,-0.23%,16.889M,58.937M,2.308B,N/A
71,1773.T,YTL Corporation Berhad,21.00,+1.00,+5.00%,"59,000","209,109",227.161B,"1,105.26"
72,016710.KS,"Daesung Holdings Co., Ltd.","13,600.00",+100.00,+0.74%,"41,000","63,338",218.817B,N/A
73,A1EP34.SA,"American Electric Power Company, Inc.",216.01,0.00,0.00%,0,399,218.745B,58.05
74,0003.HK,The Hong Kong and China Gas Company Limited,12.020,-0.020,-0.17%,21.605M,19.995M,213.611B,30.63
75,GPSC.BK,Global Power Synergy Public Company Limited,75.75,-0.75,-0.98%,14.344M,18.913M,213.595B,34.40
76,NHPC.BO,NHPC Limited,20.30,-0.15,-0.73%,"341,717","268,152",203.913B,7.10
77,NHPC.NS,NHPC Limited,20.25,-0.10,-0.49%,4.615M,5.616M,204.412B,7.08
78,GUJGASLTD.NS,Gujarat Gas Limited,294.90,-14.85,-4.79%,1.599M,"891,356",203.104B,16.94
79,TGRA.JK,PT. Terregra Asia Energy Tbk,70.00,0.00,0.00%,7.859M,7.921M,192.5B,N/A
80,0002.HK,CLP Holdings Limited,75.850,-0.200,-0.26%,6.57M,3.348M,191.631B,41.22
81,8174.T,"Nippon Gas Co., Ltd.","4,605.00",-50.00,-1.07%,"181,500","196,490",183.783B,24.24
82,UPRO.ME,Public Joint-Stock Company Unipro,2.8630,+0.0250,+0.88%,56.415M,82.698M,180.508B,10.37
83,EA.BK,Energy Absolute Public Company Limited,45.50,-2.50,-5.21%,37.346M,10.07M,169.715B,26.84
84,EA-R.BK,Energy Absolute Public Company Limited,45.50,-2.50,-5.21%,37.346M,N/A,169.715B,26.84
85,ADANIGAS.NS,Adani Gas Limited,154.35,-3.30,-2.09%,1.06M,3.027M,169.756B,38.91
86,NEXT34.SA,"NextEra Energy, Inc.",327.04,0.00,0.00%,0,389,160.07B,181.82
87,TORNTPOWER.NS,Torrent Power Limited,332.85,-2.65,-0.79%,1.184M,1.412M,160.045B,13.62
88,TORNTPOWER.BO,Torrent Power Limited,332.75,-2.90,-0.86%,"57,701","58,645",159.925B,13.62
89,RATCH-R.BK,Ratch Group Public Company Limited,63.75,-0.50,-0.78%,2.945M,N/A,157.327B,16.55
90,9507.T,"Shikoku Electric Power Company, Incorporated",775.00,+3.00,+0.39%,"418,000","499,729",159.435B,8.82
91,1816.HK,"CGN Power Co., Ltd.",1.760,+0.040,+2.33%,24.105M,21.861M,160.891B,7.02
92,018000.KQ,"Unison Co., Ltd.","1,650.00",+10.00,+0.61%,2.885M,1.986M,154.441B,N/A
93,BGRIM-R.BK,B.Grimm Power Public Company Limited,54.75,-0.75,-1.35%,5.855M,2.694M,145.406B,82.21
94,015360.KS,"Yesco Holdings Co., Ltd.","34,100.00",-100.00,-0.29%,328,"2,172",145.463B,N/A
95,003816.SZ,"CGN Power Co., Ltd.",3.2400,+0.0400,+1.25%,102.604M,41.877M,145.174B,18.51
96,BGRIM.BK,B.Grimm Power Public Company Limited,54.75,-0.75,-1.35%,5.855M,16.597M,142.728B,82.21
97,TATAPOWER.NS,The Tata Power Company Limited,52.20,+1.35,+2.65%,41.915M,34.383M,141.328B,16.73
98,TATAPOWER.BO,The Tata Power Company Limited,52.15,+1.25,+2.46%,3.264M,1.8M,141.054B,16.71
99,9505.T,Hokuriku Electric Power Company,667.00,-2.00,-0.30%,"406,400","510,753",139.254B,10.37
0,ADANIPOWER.BO,Adani Power Limited,35.75,-0.20,-0.56%,"141,883","865,828",137.886B,N/A
1,ADANIPOWER.NS,Adani Power Limited,35.70,-0.25,-0.70%,2.636M,15.783M,137.693B,N/A
2,117580.KS,"Daesung Energy Co., Ltd.","4,950.00",+30.00,+0.61%,"72,785","72,397",136.125B,N/A
3,EGCO.BK,Electricity Generating Public Company Limited,254.00,-7.00,-2.68%,1.344M,1.648M,133.722B,15.03
4,GLO.L,ContourGlobal plc,199.40,-0.60,-0.30%,"44,589","398,796",1.33B,49.85
5,0384.HK,China Gas Holdings Limited,25.350,-0.350,-1.36%,17.267M,22.662M,132.29B,14.40
6,NEE,"NextEra Energy, Inc.",249.45,+2.73,+1.11%,"497,529",2.42M,122.093B,34.67
7,GSPL.NS,Gujarat State Petronet Limited,214.25,-6.15,-2.79%,"508,719","715,118",120.868B,6.99
8,GSPL.BO,Gujarat State Petronet Limited,214.35,-6.05,-2.75%,"13,113","44,867",120.924B,6.99
9,GPSC-R.BK,Global Power Synergy Public Company Limited,75.75,-0.75,-0.98%,14.344M,N/A,113.496B,34.40
10,TEP.L,Telecom Plus PLC,"1,420.00",-30.00,-2.07%,"122,649","154,162",1.117B,31.07
11,038870.KQ,"EcoBio Holdings Co., Ltd.","9,400.00",+220.00,+2.40%,2.869M,"128,432",109.123B,N/A
12,1038.HK,CK Infrastructure Holdings Limited,41.150,-0.350,-0.84%,2.832M,2.757M,109.075B,9.87
13,FP3.F,"NextEra Energy, Inc.",219.25,+1.40,+0.64%,99,474,107.312B,30.47
14,NEE.VI,"NextEra Energy, Inc.",218.75,+1.00,+0.46%,0,0,107.067B,30.40
15,130660.KS,"Korea Electric Power Industrial Development Co., Ltd","3,275.00",-5.00,-0.15%,"14,928","53,386",106.765B,N/A
16,DRX.L,Drax Group plc,257.00,-2.80,-1.08%,"226,856",1.711M,1.02B,"2,570.00"
17,034590.KS,"Incheon City Gas Co., Ltd.","24,300.00",+150.00,+0.62%,423,"2,285",100.165B,N/A
18,2688.HK,ENN Energy Holdings Limited,88.750,-0.500,-0.56%,4.137M,2.143M,99.891B,15.73
19,MGL.NS,Mahanagar Gas Limited,"1,007.35",-21.20,-2.06%,1.576M,"902,429",99.504B,12.54
20,MGL.BO,Mahanagar Gas Limited,"1,007.20",-20.55,-2.00%,"49,372","39,758",99.566B,12.54
21,IENOVA.MX,"Infraestructura Energetica Nova, S.A.B. de C.V.",64.65,-1.32,-2.00%,"249,375",3.056M,98.876B,238.56
22,267290.KS,"Kyungdong City Gas Co., Ltd","16,600.00",+50.00,+0.30%,"11,304","9,583",97.781B,N/A
